"cid","nH","z","nMg","dG0","ref"
1,2,0,0,-237.19,"Alberty 2006"
2,12,-4,0,-2768.1,"Alberty 2006"
2,13,-3,0,-2811.48,"Alberty 2006"
2,14,-2,0,-2838.18,"Alberty 2006"
2,12,-2,1,-3258.7,"Alberty 2006"
2,13,-1,1,-3287.5,"Alberty 2006"
2,12,0,2,-3729.3,"Alberty 2006"
3,26,-1,0,0,"Alberty 2006"
4,27,-2,0,22.65,"Alberty 2006"
5,26,-4,0,-809.71,"Alberty 2006"
6,25,-3,0,-835.18,"Alberty 2006"
7,0,0,0,16.4,"Alberty 2006"
8,12,-3,0,-1906.13,"Alberty 2006"
8,13,-2,0,-1947.1,"Alberty 2006"
8,14,-1,0,-1971.98,"Alberty 2006"
8,12,-1,1,-2388,"Alberty 2006"
8,13,0,1,-2416.7,"Alberty 2006"
9,1,-2,0,-1096.1,"Alberty 2006"
9,2,-1,0,-1137.3,"Alberty 2006"
10,31,-5,0,0,"Alberty 2006"
10,32,-4,0,-47.83,"Alberty 2006"
13,0,-4,0,-1919.86,"Alberty 2006"
13,1,-3,0,-1973.86,"Alberty 2006"
13,2,-2,0,-2012.21,"Alberty 2006"
13,3,-1,0,-2025.11,"Alberty 2006"
13,4,0,0,-2029.85,"Alberty 2006"
14,3,0,0,-26.5,"Alberty 2006"
14,4,1,0,-79.31,"Alberty 2006"
16,31,-2,0,0,"Alberty 2006"
20,12,-2,0,-1040.45,"Alberty 2006"
20,13,-1,0,-1078.86,"Alberty 2006"
20,14,0,0,-1101.63,"Alberty 2006"
20,12,0,1,-1511.8,"Alberty 2006"
22,3,-1,0,-472.27,"Alberty 2006"
24,34,-4,0,-180.36,"Alberty 2006"
25,8,-1,0,-697.47,"Alberty 2006"
26,4,-2,0,-793.41,"Alberty 2006"
27,2,0,0,-134.03,"Alberty 2006"
31,12,0,0,-915.9,"Alberty 2006"
33,3,-1,0,-369.31,"Alberty 2006"
33,4,0,0,-396.45,"Alberty 2006"
36,2,-2,0,-793.29,"Alberty 2006"
37,5,0,0,-379.91,"Alberty 2006"
41,7,0,0,-371,"Alberty 2006"
42,4,-2,0,-690.44,"Alberty 2006"
42,5,-1,0,-722.62,"Alberty 2006"
42,6,0,0,-746.64,"Alberty 2006"
48,1,-1,0,-468.6,"Alberty 2006"
49,6,-1,0,-695.88,"Alberty 2006"
51,15,-2,0,34.17,"Alberty 2006"
51,16,-1,0,-13.44,"Alberty 2006"
58,1,-1,0,-351,"Alberty 2006"
59,0,-2,0,-744.53,"Alberty 2006"
59,1,-1,0,-755.91,"Alberty 2006"
61,19,-2,0,0,"Alberty 2006"
64,10,0,0,-528.02,"Alberty 2006"
65,7,0,0,-510.87,"Alberty 2006"
73,11,0,0,-502.92,"Alberty 2006"
74,2,-3,0,-1263.65,"Alberty 2006"
74,3,-2,0,-1303.61,"Alberty 2006"
78,12,0,0,-114.7,"Alberty 2006"
79,11,0,0,-207.1,"Alberty 2006"
81,10,-5,0,-2925.31,"Alberty 2006"
81,11,-4,0,-2982.9,"Alberty 2006"
81,12,-3,0,-3026.28,"Alberty 2006"
82,11,0,0,-370.7,"Alberty 2006"
84,4,0,0,-139,"Alberty 2006"
85,11,-2,0,-1760.8,"Alberty 2006"
85,12,-1,0,-1796.6,"Alberty 2006"
86,4,0,0,-202.8,"Alberty 2006"
87,0,0,0,0,"Alberty 2006"
88,0,-1,0,-32.2,"Alberty 2006"
88,1,0,0,-50.6,"Alberty 2006"
89,22,0,0,-1564.7,"Alberty 2006"
91,35,-5,0,-509.72,"Alberty 2006"
91,36,-4,0,-533.76,"Alberty 2006"
92,11,-2,0,-1763.94,"Alberty 2006"
92,12,-1,0,-1800.59,"Alberty 2006"
92,11,0,1,-2234.08,"Alberty 2006"
93,7,-2,0,-1358.96,"Alberty 2006"
93,8,-1,0,-1397.04,"Alberty 2006"
94,0,-2,0,-486.5,"Alberty 2006"
94,1,-1,0,-527.78,"Alberty 2006"
95,12,0,0,-915.51,"Alberty 2006"
97,6,-1,0,-291,"Alberty 2006"
97,7,0,0,-338.82,"Alberty 2006"
100,36,-4,0,-179.14,"Alberty 2006"
103,11,-2,0,-1756.87,"Alberty 2006"
103,12,-1,0,-1793.98,"Alberty 2006"
104,10,-4,0,-2066.44,"Alberty 2006"
104,11,-3,0,-2121.01,"Alberty 2006"
104,12,-2,0,-2161.99,"Alberty 2006"
111,5,-2,0,-1296.26,"Alberty 2006"
111,6,-1,0,-1328.8,"Alberty 2006"
116,8,0,0,-497.48,"Alberty 2006"
117,9,-2,0,-1595.78,"Alberty 2006"
117,10,-1,0,-1633.96,"Alberty 2006"
118,5,-2,0,-1288.6,"Alberty 2006"
118,6,-1,0,-1321.14,"Alberty 2006"
119,8,-5,0,-3284.25,"Alberty 2006"
119,9,-4,0,-3325.23,"Alberty 2006"
119,10,-3,0,-3363.42,"Alberty 2006"
121,10,0,0,-752,"Alberty 2006"
122,2,-2,0,-601.87,"Alberty 2006"
122,3,-1,0,-628.14,"Alberty 2006"
122,4,0,0,-645.8,"Alberty 2006"
123,13,0,0,-352.25,"Alberty 2006"
124,12,0,0,-908.93,"Alberty 2006"
125,0,3,0,0,"Alberty 2006"
126,0,2,0,-24.51,"Alberty 2006"
127,30,-2,0,0,"Alberty 2006"
130,10,-3,0,-1200.43,"Alberty 2006"
130,11,-2,0,-1255.42,"Alberty 2006"
130,12,-1,0,-1293.84,"Alberty 2006"
131,12,-4,0,-2620.24,"Alberty 2006"
131,13,-3,0,-2663.62,"Alberty 2006"
131,14,-2,0,-2690.32,"Alberty 2006"
132,4,0,0,-175.31,"Alberty 2006"
138,0,0,0,38.07,"Alberty 2006"
139,0,1,0,0,"Alberty 2006"
147,5,0,0,313.4,"Alberty 2006"
147,6,1,0,289.43,"Alberty 2006"
149,4,-2,0,-842.66,"Alberty 2006"
149,5,-1,0,-872.68,"Alberty 2006"
152,8,0,0,-525.93,"Alberty 2006"
158,5,-3,0,-1162.69,"Alberty 2006"
158,6,-2,0,-1199.18,"Alberty 2006"
158,7,-1,0,-1226.33,"Alberty 2006"
159,12,0,0,-910,"Alberty 2006"
160,3,-1,0,-530.95,"Alberty 2006"
164,5,0,0,-482.49,"Alberty 2006"
168,3,-1,0,-608.55,"Alberty 2006"
181,10,0,0,-750.49,"Alberty 2006"
183,11,0,0,-358.65,"Alberty 2006"
184,6,0,0,-451,"Alberty 2006"
185,22,0,0,-1585.94,"Alberty 2006"
186,5,-1,0,-516.72,"Alberty 2006"
188,9,0,0,-528.89,"Alberty 2006"
197,4,-3,0,-1502.54,"Alberty 2006"
197,5,-2,0,-1545.52,"Alberty 2006"
198,10,0,0,-903.5,"Alberty 2006"
199,9,-2,0,-1595.32,"Alberty 2006"
199,10,-1,0,-1633.5,"Alberty 2006"
206,12,-3,0,-1758.27,"Alberty 2006"
206,13,-2,0,-1799.24,"Alberty 2006"
206,14,-1,0,-1824.12,"Alberty 2006"
207,6,0,0,-159.7,"Alberty 2006"
208,22,0,0,-1574.69,"Alberty 2006"
209,0,-2,0,-673.9,"Alberty 2006"
209,1,-1,0,-698.33,"Alberty 2006"
212,13,0,0,-194.5,"Alberty 2006"
212,14,1,0,-214.28,"Alberty 2006"
216,10,0,0,-742.23,"Alberty 2006"
224,12,-1,0,-1541.98,"Alberty 2006"
227,3,-2,0,-1219.49,"Alberty 2006"
227,4,-1,0,-1269.08,"Alberty 2006"
227,5,0,0,-1298.26,"Alberty 2006"
233,9,-1,0,-445.14,"Alberty 2006"
236,4,-4,0,-2356.14,"Alberty 2006"
236,5,-3,0,-2401.58,"Alberty 2006"
237,0,0,0,-119.9,"Alberty 2006"
243,22,0,0,-1567.33,"Alberty 2006"
244,0,-1,0,-108.74,"Alberty 2006"
244,1,0,0,-111.25,"Alberty 2006"
246,7,-1,0,-352.63,"Alberty 2006"
247,12,0,0,-911.95,"Alberty 2006"
249,31,-1,0,-259.4,"Alberty 2006"
252,22,0,0,-1587.71,"Alberty 2006"
258,5,-1,0,-661.01,"Alberty 2006"
262,4,0,0,89.5,"Alberty 2006"
275,11,-2,0,-1759.87,"Alberty 2006"
275,12,-1,0,-1796.63,"Alberty 2006"
282,2,0,0,17.6,"Alberty 2006"
283,0,-2,0,85.8,"Alberty 2006"
283,1,-1,0,12.08,"Alberty 2006"
283,2,0,0,-27.83,"Alberty 2006"
288,0,-2,0,-527.81,"Alberty 2006"
288,1,-1,0,-586.77,"Alberty 2006"
288,2,0,0,-623.11,"Alberty 2006"
294,11,-1,0,-358.02,"Alberty 2006"
294,12,0,0,-409.15,"Alberty 2006"
300,9,0,0,-259.2,"Alberty 2006"
309,10,0,0,-735.94,"Alberty 2006"
310,10,0,0,-746.15,"Alberty 2006"
311,5,-3,0,-1156.04,"Alberty 2006"
311,6,-2,0,-1192.57,"Alberty 2006"
311,7,-1,0,-1219.47,"Alberty 2006"
313,31,-1,0,-509.96,"Alberty 2006"
332,36,-4,0,-285.32,"Alberty 2006"
342,0,-2,0,69.88,"Alberty 2006"
342,1,-1,0,20.56,"Alberty 2006"
342,2,0,0,-25.37,"Alberty 2006"
343,0,0,0,0,"Alberty 2006"
354,10,-4,0,-2601.4,"Alberty 2006"
354,11,-3,0,-2639.36,"Alberty 2006"
354,12,-2,0,-2673.89,"Alberty 2006"
360,12,-2,0,-892.59,"Alberty 2006"
360,13,-1,0,-931,"Alberty 2006"
360,14,0,0,-953.77,"Alberty 2006"
366,4,0,0,-356.9,"Alberty 2006"
376,28,0,0,0,"Alberty 2006"
379,12,0,0,-784.09,"Alberty 2006"
390,92,0,0,-89.92,"Alberty 2006"
392,14,0,0,-942.61,"Alberty 2006"
399,90,0,0,0,"Alberty 2006"
407,13,0,0,-343.9,"Alberty 2006"
417,3,-3,0,-917.13,"Alberty 2006"
423,7,-1,0,-128.75,"Alberty 2006"
455,14,-2,0,840.08,"Alberty 2006"
455,15,-1,0,803.32,"Alberty 2006"
463,7,0,0,223.8,"Alberty 2006"
469,6,0,0,-181.64,"Alberty 2006"
473,30,0,0,-27.91,"Alberty 2006"
474,12,0,0,-774.8,"Alberty 2006"
476,10,0,0,-749.14,"Alberty 2006"
491,12,0,0,-666.51,"Alberty 2006"
533,0,0,0,86.55,"Alberty 2006"
559,13,0,0,-46.64,"Alberty 2006"
559,14,1,0,-66.42,"Alberty 2006"
575,11,-1,0,-629.68,"Alberty 2006 (the original mistakenly stated nH=7)"
577,6,0,0,-440.02,"Alberty 2006"
620,9,-2,0,-1587.7,"Alberty 2006"
620,10,-1,0,-1625.88,"Alberty 2006"
631,4,-3,0,-1496.38,"Alberty 2006"
631,5,-2,0,-1539.99,"Alberty 2006"
636,11,-2,0,-1754.56,"Alberty 2006"
636,12,-1,0,-1791.32,"Alberty 2006"
644,13,-2,0,-1793.58,"Alberty 2006"
644,14,-1,0,-1830.68,"Alberty 2006"
673,9,-2,0,-1447.92,"Alberty 2006"
673,10,-1,0,-1486.11,"Alberty 2006"
697,0,0,0,18.7,"Alberty 2006"
708,0,-1,0,-51.57,"Alberty 2006"
791,7,0,0,-23.14,"Alberty 2006"
794,14,0,0,-946.36,"Alberty 2006"
849,8,0,0,-337.65,"Alberty 2006"
887,0,0,0,104.2,"Alberty 2006"
920,46,-5,0,-35.85,"Alberty 2006"
1005,6,-2,0,-1360.75,"Alberty 2006"
1005,7,-1,0,-1397.51,"Alberty 2006"
1013,5,-1,0,-518.4,"Alberty 2006"
1083,22,0,0,-1582.76,"Alberty 2006"
1096,13,-2,0,-1793.1,"Alberty 2006"
1096,14,-1,0,-1829.75,"Alberty 2006"
1112,9,-2,0,-1598.34,"Alberty 2006"
1112,10,-1,0,-1636.53,"Alberty 2006"
1113,11,-2,0,-1756.81,"Alberty 2006"
1113,12,-1,0,-1793.57,"Alberty 2006"
1127,4,-2,0,-951.78,"Alberty 2006"
1236,9,-2,0,-1746.08,"Alberty 2006"
1236,10,-1,0,-1782.73,"Alberty 2006"
1352,33,-2,0,-38.88,"Alberty 2006"
1382,0,0,0,0,"Alberty 2006"
1384,2,-2,0,-592.09,"Alberty 2006"
1412,8,0,0,-129.87,"Alberty 2006"
1438,4,0,0,-34.33,"Alberty 2006"
1507,14,0,0,-944.73,"Alberty 2006"
1801,10,0,0,-604.14,"Alberty 2006"
1845,8,0,0,-185.23,"Alberty 2006"
1847,21,-2,0,-38.88,"Alberty 2006"
2037,8,0,0,-520.2,"Alberty 2006"
2226,4,-2,0,-600.7,"Alberty 2006"
2226,5,-1,0,-636.49,"Alberty 2006"
2237,6,-1,0,-469.15,"Alberty 2006"
2557,35,-5,0,-502.48,"Alberty 2006"
2557,36,-4,0,-526.51,"Alberty 2006"
2612,6,-2,0,-843.9,"Alberty 2006"
3196,6,-2,0,-840.18,"Alberty 2006"
3232,2,-3,0,-1448.67,"Alberty 2006"
3383,10,0,0,-905.34,"Alberty 2006"
3384,11,-2,0,-1756.69,"Alberty 2006"
3384,12,-1,0,-1791.77,"Alberty 2006"
4348,35,-5,0,-663.44,"Alberty 2006"
4348,36,-4,0,-687.47,"Alberty 2006"
5379,4,-2,0,-1138.88,"Alberty 2006"
5572,5,-1,0,-595.88,"Alberty 2006"
5979,8,0,0,-175.81,"Alberty 2006"
6142,10,0,0,-171.84,"Alberty 2006"
7064,22,0,0,-1575.22,"Alberty 2006"
14818,0,2,0,-78.9,"Alberty 2006"
14819,0,3,0,-4.7,"Alberty 2006"
16637,9,-2,0,-1439.84,"Alberty 2006"
16637,10,-1,0,-1478.02,"Alberty 2006"
