cid,name,dG0,dH0,z,nH,nMg,compound_ref,remark
"1","H2O","-237.19",,"0","2","0","Alberty (2006)",
"2","ATP","-2768.1",,"-4","12","0","Alberty (2006)",
"2","ATP","-2811.48",,"-3","13","0","Alberty (2006)",
"2","ATP","-2838.18",,"-2","14","0","Alberty (2006)",
"3","NAD(ox)","0.0",,"-1","26","0","Alberty (2006)",
"4","NAD(red)","22.65",,"-2","27","0","Alberty (2006)",
"5","NADP(red)","-809.71",,"-4","26","0","Alberty (2006)",
"6","NADP(ox)","-835.18",,"-3","25","0","Alberty (2006)",
"7","O2","16.4",,"0","0","0","Alberty (2006)",
"8","ADP","-1906.13",,"-3","12","0","Alberty (2006)",
"8","ADP","-1947.1",,"-2","13","0","Alberty (2006)",
"8","ADP","-1971.98",,"-1","14","0","Alberty (2006)",
"9","orthophosphate","-1096.1",,"-2","1","0","Alberty (2006)",
"9","orthophosphate","-1137.3",,"-1","2","0","Alberty (2006)",
"9","orthophosphate","-1149.6",,"0","3","0","Alberty (2006)",
"9","orthophosphate","-1025.8",,"-3","5","0","Alberty (2006)",
"10","CoA","0.0",,"-1","32","0","Alberty (2006)",
"10","CoA","-47.83",,"0","33","0","Alberty (2006)",
"11","CO2(aq)","-386.0",,"0","0","0","Alberty (2006)",
"13","pyrophosphate","-1919.86",,"-4","0","0","Alberty (2006)",
"13","pyrophosphate","-1973.86",,"-3","1","0","Alberty (2006)",
"13","pyrophosphate","-2012.21",,"-2","2","0","Alberty (2006)",
"13","pyrophosphate","-2025.11",,"-1","3","0","Alberty (2006)",
"13","pyrophosphate","-2029.85",,"0","4","0","Alberty (2006)",
"14","ammonia","-26.5",,"0","3","0","Alberty (2006)",
"14","ammonia","-79.31",,"1","4","0","Alberty (2006)",
"16","FAD(ox)","0.0",,"-2","31","0","Alberty (2006)",
"20","AMP","-1040.45",,"-2","12","0","Alberty (2006)",
"20","AMP","-1078.86",,"-1","13","0","Alberty (2006)",
"20","AMP","-1101.63",,"0","14","0","Alberty (2006)",
"22","pyruvate","-472.27",,"-1","3","0","Alberty (2006)",
"22","pyruvate","-486.0",,"0","4","0","Alberty (2006)",
"24","acetyl-CoA","-180.36",,"0","35","0","Alberty (2006)",
"25","L-glutamate","-697.47",,"-1","8","0","Alberty (2006)",
"26","alpha-ketoglutarate","-793.41",,"-2","4","0","Alberty (2006)",
"26","alpha-ketoglutarate","-820.1",,"-1","5","0","Alberty (2006)",
"26","alpha-ketoglutarate","-834.2",,"0","6","0","Alberty (2006)",
"27",,"-134.03",,"0","2","0","Alberty (2006)",
"31",,"-915.9",,"0","12","0","Alberty (2006)",
"33",,"-369.31",,"-1","3","0","Alberty (2006)",
"33",,"-396.45",,"0","4","0","Alberty (2006)",
"36",,"-793.29",,"-2","2","0","Alberty (2006)",
"36",,"-818.2",,"-1","3","0","Alberty (2006)",
"36",,"-832.8",,"0","4","0","Alberty (2006)",
"37",,"-324.1",,"-1","4","0","Alberty (2006)",
"37",,"-379.91",,"0","5","0","Alberty (2006)",
"37",,"-393.3",,"1","6","0","Alberty (2006)",
"41",,"-315.7",,"-1","6","0","Alberty (2006)",
"41",,"-371.0",,"0","7","0","Alberty (2006)",
"41",,"-384.3",,"1","8","0","Alberty (2006)",
"42",,"-690.44",,"-2","4","0","Alberty (2006)",
"42",,"-722.62",,"-1","5","0","Alberty (2006)",
"42",,"-746.64",,"0","6","0","Alberty (2006)",
"48",,"-468.6",,"-1","1","0","Alberty (2006)",
"48",,"-486.7",,"0","2","0","Alberty (2006)",
"49",,"-639.4",,"-2","5","0","Alberty (2006)",
"49",,"-695.88",,"-1","6","0","Alberty (2006)",
"49",,"-718.1",,"0","7","0","Alberty (2006)",
"49",,"-729.5",,"1","8","0","Alberty (2006)",
"51",,"34.17",,"-2","15","0","Alberty (2006)",
"51",,"-13.44",,"-1","16","0","Alberty (2006)",
"58",,"-351.0",,"-1","1","0","Alberty (2006)",
"58",,"-372.4",,"0","2","0","Alberty (2006)",
"59",,"-744.53",,"-2","0","0","Alberty (2006)",
"59",,"-755.91",,"-1","1","0","Alberty (2006)",
"61",,"0.0",,"-2","19","0","Alberty (2006)",
"64",,"-528.02",,"0","10","0","Alberty (2006)",
"65",,"-458.7",,"-1","6","0","Alberty (2006)",
"65",,"-510.87",,"0","7","0","Alberty (2006)",
"65",,"-523.5",,"1","8","0","Alberty (2006)",
"74",,"-1263.65",,"-3","2","0","Alberty (2006)",
"74",,"-1303.61",,"-2","3","0","Alberty (2006)",
"78",,"-61.0",,"-1","11","0","Alberty (2006)",
"78",,"-114.7",,"0","12","0","Alberty (2006)",
"78",,"-128.7",,"1","13","0","Alberty (2006)",
"79",,"-154.0",,"-1","10","0","Alberty (2006)",
"79",,"-207.1",,"0","11","0","Alberty (2006)",
"79",,"-221.1",,"1","12","0","Alberty (2006)",
"80",,"0.0",,"1","1","0","Alberty (2006)",
"81",,"-2925.31",,"-5","10","0","Alberty (2006)",
"81",,"-2982.9",,"-4","11","0","Alberty (2006)",
"81",,"-3026.28",,"-3","12","0","Alberty (2006)",
"82",,"-261.1",,"-2","9","0","Alberty (2006)",
"82",,"-318.7",,"-1","10","0","Alberty (2006)",
"82",,"-370.7",,"0","11","0","Alberty (2006)",
"82",,"-383.3",,"1","12","0","Alberty (2006)",
"84",,"-139.0",,"0","4","0","Alberty (2006)",
"85",,"-1760.8",,"-2","11","0","Alberty (2006)",
"85",,"-1796.6",,"-1","12","0","Alberty (2006)",
"86",,"-202.8",,"0","4","0","Alberty (2006)",
"87",,"0.0",,"0","0","0","Alberty (2006)",
"88",,"-32.2",,"-1","0","0","Alberty (2006)",
"88",,"-50.6",,"0","1","0","Alberty (2006)",
"89",,"-1564.7",,"0","22","0","Alberty (2006)",
"91",,"-509.72",,"-1","36","0","Alberty (2006)",
"91",,"-533.76",,"0","37","0","Alberty (2006)",
"92",,"-1763.94",,"-2","11","0","Alberty (2006)",
"92",,"-1800.59",,"-1","12","0","Alberty (2006)",
"93",,"-1358.96",,"-2","7","0","Alberty (2006)",
"93",,"-1397.04",,"-1","8","0","Alberty (2006)",
"94",,"-486.5",,"-2","0","0","Alberty (2006)",
"94",,"-527.78",,"-1","1","0","Alberty (2006)",
"95",,"-915.51",,"0","12","0","Alberty (2006)",
"97",,"-232.8",,"-2","5","0","Alberty (2006)",
"97",,"-291.0",,"-1","6","0","Alberty (2006)",
"97",,"-338.82",,"0","7","0","Alberty (2006)",
"97",,"-347.4",,"1","8","0","Alberty (2006)",
"100",,"-179.14",,"0","37","0","Alberty (2006)",
"103",,"-1756.87",,"-2","11","0","Alberty (2006)",
"103",,"-1793.98",,"-1","12","0","Alberty (2006)",
"104",,"-2066.44",,"-4","10","0","Alberty (2006)",
"104",,"-2121.01",,"-3","11","0","Alberty (2006)",
"104",,"-2161.99",,"-2","12","0","Alberty (2006)",
"111",,"-1296.26",,"-2","5","0","Alberty (2006)",
"111",,"-1328.8",,"-1","6","0","Alberty (2006)",
"116",,"-497.48",,"0","8","0","Alberty (2006)",
"117",,"-1595.78",,"-2","9","0","Alberty (2006)",
"117",,"-1633.96",,"-1","10","0","Alberty (2006)",
"118",,"-1288.6",,"-2","5","0","Alberty (2006)",
"118",,"-1321.14",,"-1","6","0","Alberty (2006)",
"119",,"-3284.25",,"-5","8","0","Alberty (2006)",
"119",,"-3325.23",,"-4","9","0","Alberty (2006)",
"119",,"-3363.42",,"-3","10","0","Alberty (2006)",
"121",,"-752.0",,"0","10","0","Alberty (2006)",
"122",,"-601.87",,"-2","2","0","Alberty (2006)",
"122",,"-628.14",,"-1","3","0","Alberty (2006)",
"122",,"-645.8",,"0","4","0","Alberty (2006)",
"123",,"-352.25",,"0","13","0","Alberty (2006)",
"124",,"-908.93",,"0","12","0","Alberty (2006)",
"125",,"0.0",,"3","0","0","Alberty (2006)",
"126",,"-24.51",,"2","0","0","Alberty (2006)",
"127",,"0.0",,"-2","30","0","Alberty (2006)",
"130",,"-1200.43",,"-3","10","0","Alberty (2006)",
"130",,"-1255.42",,"-2","11","0","Alberty (2006)",
"130",,"-1293.84",,"-1","12","0","Alberty (2006)",
"131",,"-2620.24",,"-4","12","0","Alberty (2006)",
"131",,"-2663.62",,"-3","13","0","Alberty (2006)",
"131",,"-2690.32",,"-2","14","0","Alberty (2006)",
"132",,"-175.31",,"0","4","0","Alberty (2006)",
"138",,"38.07",,"0","0","0","Alberty (2006)",
"139",,"0.0",,"1","0","0","Alberty (2006)",
"147",,"369.7",,"-1","4","0","Alberty (2006)",
"147",,"313.4",,"0","5","0","Alberty (2006)",
"147",,"289.43",,"1","6","0","Alberty (2006)",
"149",,"-842.66",,"-2","4","0","Alberty (2006)",
"149",,"-872.68",,"-1","5","0","Alberty (2006)",
"149",,"-892.1",,"0","6","0","Alberty (2006)",
"152",,"-475.7",,"-1","7","0","Alberty (2006)",
"152",,"-525.93",,"0","8","0","Alberty (2006)",
"152",,"-537.9",,"1","9","0","Alberty (2006)",
"158",,"-1162.69",,"-3","5","0","Alberty (2006)",
"158",,"-1199.18",,"-2","6","0","Alberty (2006)",
"158",,"-1226.33",,"-1","7","0","Alberty (2006)",
"158",,"-1244.2",,"0","8","0","Alberty (2006)",
"159",,"-910.0",,"0","12","0","Alberty (2006)",
"160",,"-530.95",,"-1","3","0","Alberty (2006)",
"160",,"-552.8",,"0","4","0","Alberty (2006)",
"164",,"-482.49",,"0","5","0","Alberty (2006)",
"168",,"-608.55",,"-1","3","0","Alberty (2006)",
"168",,"-630.2",,"0","4","0","Alberty (2006)",
"181",,"-750.49",,"0","10","0","Alberty (2006)",
"183",,"-303.1",,"-1","10","0","Alberty (2006)",
"183",,"-358.65",,"0","11","0","Alberty (2006)",
"183",,"-784.09",,"0","12","0","Alberty (2006)",
"183",,"-371.7",,"1","12","0","Alberty (2006)",
"184",,"-451.0",,"0","6","0","Alberty (2006)",
"185",,"-1585.94",,"0","22","0","Alberty (2006)",
"186",,"-516.72",,"-1","5","0","Alberty (2006)",
"186",,"-538.7",,"0","6","0","Alberty (2006)",
"188",,"-477.0",,"-1","8","0","Alberty (2006)",
"188",,"-528.89",,"0","9","0","Alberty (2006)",
"188",,"-540.8",,"1","10","0","Alberty (2006)",
"197",,"-1502.54",,"-3","4","0","Alberty (2006)",
"197",,"-1545.52",,"-2","5","0","Alberty (2006)",
"198",,"-903.5",,"0","10","0","Alberty (2006)",
"199",,"-1595.32",,"-2","9","0","Alberty (2006)",
"199",,"-1633.5",,"-1","10","0","Alberty (2006)",
"206",,"-1758.27",,"-3","12","0","Alberty (2006)",
"206",,"-1799.24",,"-2","13","0","Alberty (2006)",
"206",,"-1824.12",,"-1","14","0","Alberty (2006)",
"207",,"-159.7",,"0","6","0","Alberty (2006)",
"208",,"-1574.69",,"0","22","0","Alberty (2006)",
"209",,"-673.9",,"-2","0","0","Alberty (2006)",
"209",,"-698.33",,"-1","1","0","Alberty (2006)",
"209",,"-705.5",,"0","2","0","Alberty (2006)",
"212",,"-194.5",,"0","13","0","Alberty (2006)",
"212",,"-214.28",,"1","14","0","Alberty (2006)",
"216",,"-742.23",,"0","10","0","Alberty (2006)",
"218",,"-39.86",,"1","6","0","Alberty (2006)",
"227",,"-1219.49",,"-2","3","0","Alberty (2006)",
"227",,"-1269.08",,"-1","4","0","Alberty (2006)",
"227",,"-1298.26",,"0","5","0","Alberty (2006)",
"233",,"-445.14",,"-1","9","0","Alberty (2006)",
"236",,"-2356.14",,"-4","4","0","Alberty (2006)",
"236",,"-2401.58",,"-3","5","0","Alberty (2006)",
"236",,"-2436.0",,"-2","6","0","Alberty (2006)",
"237",,"-119.9",,"0","0","0","Alberty (2006)",
"243",,"-1567.33",,"0","22","0","Alberty (2006)",
"244",,"-108.74",,"-1","0","0","Alberty (2006)",
"244",,"-111.25",,"0","1","0","Alberty (2006)",
"246",,"-352.63",,"-1","7","0","Alberty (2006)",
"246",,"380.2",,"0","8","0","Alberty (2006)",
"247",,"-911.95",,"0","12","0","Alberty (2006)",
"249",,"-259.4",,"-1","31","0","Alberty (2006)",
"249",,"-286.8",,"0","32","0","Alberty (2006)",
"252",,"-1587.71",,"0","22","0","Alberty (2006)",
"258",,"-661.01",,"-1","5","0","Alberty (2006)",
"258",,"-681.1",,"0","6","0","Alberty (2006)",
"262",,"209.1",,"-2","2","0","Alberty (2006)",
"262",,"140.3",,"-1","3","0","Alberty (2006)",
"262",,"89.5",,"0","4","0","Alberty (2006)",
"262",,"79.2",,"1","5","0","Alberty (2006)",
"275",,"-1759.87",,"-2","11","0","Alberty (2006)",
"275",,"-1796.63",,"-1","12","0","Alberty (2006)",
"282",,"17.6",,"0","2","0","Alberty (2006)",
"283",,"85.8",,"-2","0","0","Alberty (2006)",
"283",,"12.08",,"-1","1","0","Alberty (2006)",
"283",,"-27.83",,"0","2","0","Alberty (2006)",
"288",,"-527.81",,"-2","0","0","Alberty (2006)",
"288",,"-586.77",,"-1","1","0","Alberty (2006)",
"288",,"-623.11",,"0","2","0","Alberty (2006)",
"294",,"-358.02",,"-1","11","0","Alberty (2006)",
"294",,"-409.15",,"0","12","0","Alberty (2006)",
"300",,"-177.6",,"-1","8","0","Alberty (2006)",
"300",,"-259.2",,"0","9","0","Alberty (2006)",
"300",,"-274.4",,"1","10","0","Alberty (2006)",
"309",,"-735.94",,"0","10","0","Alberty (2006)",
"310",,"-746.15",,"0","10","0","Alberty (2006)",
"311",,"-1156.04",,"-3","5","0","Alberty (2006)",
"311",,"-1192.57",,"-2","6","0","Alberty (2006)",
"311",,"-1219.47",,"-1","7","0","Alberty (2006)",
"311",,"-1238.23",,"0","8","0","Alberty (2006)",
"313",,"-509.96",,"-1","32","0","Alberty (2006)",
"332",,"-285.32",,"0","37","0","Alberty (2006)",
"342",,"69.88",,"-2","0","0","Alberty (2006)",
"342",,"20.56",,"-1","1","0","Alberty (2006)",
"342",,"-25.37",,"0","2","0","Alberty (2006)",
"343",,"0.0",,"0","0","0","Alberty (2006)",
"354",,"-2601.4",,"-4","10","0","Alberty (2006)",
"354",,"-2639.36",,"-3","11","0","Alberty (2006)",
"354",,"-2673.89",,"-2","12","0","Alberty (2006)",
"360",,"-892.59",,"-2","12","0","Alberty (2006)",
"360",,"-931.0",,"-1","13","0","Alberty (2006)",
"360",,"-953.77",,"0","14","0","Alberty (2006)",
"366",,"-325.9",,"-1","3","0","Alberty (2006)",
"366",,"-356.9",,"0","4","0","Alberty (2006)",
"376",,"0.0",,"0","28","0","Alberty (2006)",
"390",,"-89.92",,"0","92","0","Alberty (2006)",
"392",,"-942.61",,"0","14","0","Alberty (2006)",
"399",,"0.0",,"0","90","0","Alberty (2006)",
"407",,"-343.9",,"0","13","0","Alberty (2006)",
"417",,"-917.13",,"-3","3","0","Alberty (2006)",
"423",,"-128.75",,"-1","7","0","Alberty (2006)",
"423",,"-154.1",,"0","8","0","Alberty (2006)",
"455",,"840.08",,"-2","14","0","Alberty (2006)",
"455",,"803.32",,"-1","15","0","Alberty (2006)",
"463",,"223.8",,"0","7","0","Alberty (2006)",
"469",,"-181.64",,"0","6","0","Alberty (2006)",
"473",,"-27.91",,"0","30","0","Alberty (2006)",
"474",,"-774.8",,"0","12","0","Alberty (2006)",
"476",,"-749.14",,"0","10","0","Alberty (2006)",
"491",,"-571.1",,"-2","10","0","Alberty (2006)",
"491",,"-620.8",,"-1","11","0","Alberty (2006)",
"491",,"-666.51",,"0","12","0","Alberty (2006)",
"491",,"-678.5",,"1","13","0","Alberty (2006)",
"491",,"-684.2",,"2","14","0","Alberty (2006)",
"533",,"86.55",,"0","0","0","Alberty (2006)",
"559",,"-46.64",,"0","13","0","Alberty (2006)",
"559",,"-66.42",,"1","14","0","Alberty (2006)",
"575",,"-629.68",,"-1","7","0","Alberty (2006)",
"577",,"-440.02",,"0","6","0","Alberty (2006)",
"620",,"-1587.7",,"-2","9","0","Alberty (2006)",
"620",,"-1625.88",,"-1","10","0","Alberty (2006)",
"631",,"-1496.38",,"-3","4","0","Alberty (2006)",
"631",,"-1539.99",,"-2","5","0","Alberty (2006)",
"636",,"-1754.56",,"-2","11","0","Alberty (2006)",
"636",,"-1791.32",,"-1","12","0","Alberty (2006)",
"644",,"-1793.58",,"-2","13","0","Alberty (2006)",
"644",,"-1830.68",,"-1","14","0","Alberty (2006)",
"673",,"-1447.92",,"-2","9","0","Alberty (2006)",
"673",,"-1486.11",,"-1","10","0","Alberty (2006)",
"697",,"18.7",,"0","0","0","Alberty (2006)",
"708",,"-51.57",,"-1","0","0","Alberty (2006)",
"791",,"29.3",,"-1","6","0","Alberty (2006)",
"791",,"-23.14",,"0","7","0","Alberty (2006)",
"791",,"-50.5",,"1","8","0","Alberty (2006)",
"794",,"-946.36",,"0","14","0","Alberty (2006)",
"849",,"-337.65",,"0","8","0","Alberty (2006)",
"887",,"104.2",,"0","0","0","Alberty (2006)",
"920",,"-35.85",,"-1","47","0","Alberty (2006)",
"1005",,"-1305.2",,"-3","5","0","Alberty (2006)",
"1005",,"-1360.75",,"-2","6","0","Alberty (2006)",
"1005",,"-1397.51",,"-1","7","0","Alberty (2006)",
"1005",,"-1409.4",,"0","8","0","Alberty (2006)",
"1013",,"-518.4",,"-1","5","0","Alberty (2006)",
"1013",,"-544.1",,"0","6","0","Alberty (2006)",
"1083",,"-1582.76",,"0","22","0","Alberty (2006)",
"1096",,"-1793.1",,"-2","13","0","Alberty (2006)",
"1096",,"-1829.75",,"-1","14","0","Alberty (2006)",
"1112",,"-1598.34",,"-2","9","0","Alberty (2006)",
"1112",,"-1636.53",,"-1","10","0","Alberty (2006)",
"1113",,"-1756.81",,"-2","11","0","Alberty (2006)",
"1113",,"-1793.57",,"-1","12","0","Alberty (2006)",
"1127",,"-951.78",,"-2","4","0","Alberty (2006)",
"1236",,"-1746.08",,"-2","9","0","Alberty (2006)",
"1236",,"-1782.73",,"-1","10","0","Alberty (2006)",
"1352","FAD(red)","-38.88",,"-2","33","0","Alberty (2006)",
"1382",,"0.0",,"0","0","0","Alberty (2006)",
"1384",,"-592.09",,"-2","2","0","Alberty (2006)",
"1384",,"-627.6",,"-1","3","0","Alberty (2006)",
"1384",,"-638.6",,"0","4","0","Alberty (2006)",
"1412",,"-129.87",,"0","8","0","Alberty (2006)",
"1417",,"-97.4",,"-1","0","0","Alberty (2006)",
"1438",,"-34.33",,"0","4","0","Alberty (2006)",
"1507",,"-944.73",,"0","14","0","Alberty (2006)",
"1563",,"-377.65",,"-1","2","0","Alberty (2006)",
"1801",,"-604.14",,"0","10","0","Alberty (2006)",
"1845",,"-185.23",,"0","8","0","Alberty (2006)",
"1847",,"-38.88",,"-2","21","0","Alberty (2006)",
"1879",,"-469.15",,"-1","6","0","Alberty (2006)",
"1879",,"-488.1",,"0","7","0","Alberty (2006)",
"2037",,"-473.6",,"-1","7","0","Alberty (2006)",
"2037",,"-520.2",,"0","8","0","Alberty (2006)",
"2037",,"-538.1",,"1","9","0","Alberty (2006)",
"2226",,"-600.7",,"-2","4","0","Alberty (2006)",
"2226",,"-636.49",,"-1","5","0","Alberty (2006)",
"2557",,"-502.48",,"-1","36","0","Alberty (2006)",
"2557",,"-526.51",,"0","37","0","Alberty (2006)",
"2612",,"-843.9",,"-2","6","0","Alberty (2006)",
"3196",,"-840.18",,"-2","6","0","Alberty (2006)",
"3232",,"-1448.67",,"-3","2","0","Alberty (2006)",
"3232",,"-1484.2",,"-2","3","0","Alberty (2006)",
"3232",,"-1505.8",,"-1","4","0","Alberty (2006)",
"3383",,"-905.34",,"0","10","0","Alberty (2006)",
"3384",,"-1756.69",,"-2","11","0","Alberty (2006)",
"3384",,"-1791.77",,"-1","12","0","Alberty (2006)",
"4348",,"-663.44",,"-1","36","0","Alberty (2006)",
"4348",,"-687.47",,"0","37","0","Alberty (2006)",
"5379",,"-1138.88",,"-2","4","0","Alberty (2006)",
"5979",,"-175.81",,"0","8","0","Alberty (2006)",
"6142",,"-171.84",,"0","10","0","Alberty (2006)",
"7064",,"-1575.22",,"0","22","0","Alberty (2006)",
"14818",,"-78.9",,"2","0","0","Alberty (2006)",
"14819",,"-4.7",,"3","0","0","Alberty (2006)",
"16637",,"-1439.84",,"-2","9","0","Alberty (2006)",
"16637",,"-1478.02",,"-1","10","0","Alberty (2006)",
67,"formaldehyde",-130.54,,0,2,0,"Thauer (1977)",
218,"methylamine",20.77,,0,5,0,"Wagman (1982)",
218,"methylamine",-39.86,-124.93,1,6,0,"Wagman (1982)",
245,"taurine",-560.98,,0,7,0,"Wagman (1982)",
245,"taurine",-509.26,,-1,6,0,"Wagman (1982)",
543,"dimethylamine",58.08,,0,7,0,"Wagman (1982)",
543,"dimethylamine",-3.3,,1,8,0,"Wagman (1982)",
565,"trimethylamine",37.40,,1,10,0,"Wagman (1982)",
565,"trimethylamine",93.13,,0,9,0,"Wagman (1982)",
257,"D-Gluconate",-1128.3,,-1,11,0,training,"Thauer (1977)",
1326,"HCN",119.6,,0,1,0,"Wagman (1982)",
1326,"HCN",172.4,,-1,0,0,"Wagman (1982)",
5984,"2-Hydroxybutanoic acid",-506.3,,-1,7,0,"Thauer (1977)",
5361,"hydrazine",128.03,,0,4,0,"Thauer (1977)",
6547,"ethylene",81.43,,0,4,0,"Wagman (1982)",
9306,"Sulfur dioxide",-300.71,,0,0,0,"Thauer (1977)",
320,"thiosulfate",-513.4,,-2,0,0,"Thauer (1977)",
