"name","synonym","formula","CAS","MW","step","T","pKa"
"4-Cyanobutanoic acid",,"C5H7NO2","39201-33-7",113.116,,25,2.42
"(2-Cyanophenoxy)acetic acid",,"C9H7NO3","6574-95-4",177.157,,25,2.98
"(3-Cyanophenoxy)acetic acid",,"C9H7NO3","1879-58-9",177.157,,25,3.03
"(4-Cyanophenoxy)acetic acid",,"C9H7NO3","1878-82-6",177.157,,25,2.93
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,1,,6.88
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,2,,11.4
"Cyanuric acid","1,3,5-Triazine-2,4,6(1H,3H,5H)-trione","C3H3N3O3","108-80-5",129.074,3,,13.5
"Cyclohexanecarboxylic acid","Hexahydrobenzoic acid","C7H12O2","98-89-5",128.169,,25,4.91
"cis-1,2-Cyclohexanediamine","cis-1,2-Diaminocyclohexane","C6H14N2","1436-59-5",114.188,1,20,9.93
"cis-1,2-Cyclohexanediamine","cis-1,2-Diaminocyclohexane","C6H14N2","1436-59-5",114.188,2,20,6.13
"trans-1,2-Cyclohexanediamine","trans-1,2-Diaminocyclohexane","C6H14N2","1121-22-8",114.188,1,20,9.94
"trans-1,2-Cyclohexanediamine","trans-1,2-Diaminocyclohexane","C6H14N2","1121-22-8",114.188,2,20,6.47
"1,3-Cyclohexanedione","Dihydroresorcinol","C6H8O2","504-02-9",112.127,,25,5.26
"Cyclohexylamine","Cyclohexanamine","C6H13N","108-91-8",99.174,,25,10.64
"Cyclopentanecarboxylic acid","Cyclopentanoic acid","C6H10O2","3400-45-1",114.142,,25,4.99
"Cyclopropanecarboxylic acid",,"C4H6O2","1759-53-1",86.09,,25,4.83
"1,1-Cyclopropanedicarboxylic acid",,"C5H6O4","598-10-7",130.1,1,25,1.82
"1,1-Cyclopropanedicarboxylic acid",,"C5H6O4","598-10-7",130.1,2,25,7.43
"Cysteamine",,"C2H7NS","60-23-1",77.149,1,25,8.27
"Cysteamine",,"C2H7NS","60-23-1",77.149,2,25,10.53
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,1,25,1.3
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,2,25,1.9
"DL-Cysteic acid",,"C3H7NO5S","3024-83-7",169.157,3,25,8.7
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,1,25,1.5
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,2,25,8.7
"L-Cysteine","2-Amino-3-mercaptopropanoic acid, (R)-","C3H7NO2S","52-90-4",121.159,3,25,10.2
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,1,,1
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,2,,2.1
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,3,,8.02
"L-Cystine","3,3'-Dithiobis(2-aminopropanoic acid)","C6H12N2O4S2","56-89-3",240.3,4,,8.71
"Cytidine","4-Amino-1-beta-D-ribofuranosyl-2(1H)-pyrimidinone","C9H13N3O5","65-46-3",243.216,1,,4.22
"Cytidine","4-Amino-1-beta-D-ribofuranosyl-2(1H)-pyrimidinone","C9H13N3O5","65-46-3",243.216,2,,12.5
"3'-Cytidylic acid","Cytidine 3'-monophosphate","C9H14N3O8P","84-52-6",323.196,1,,0.8
"3'-Cytidylic acid","Cytidine 3'-monophosphate","C9H14N3O8P","84-52-6",323.196,2,,4.28
"3'-Cytidylic acid","Cytidine 3'-monophosphate","C9H14N3O8P","84-52-6",323.196,3,,6
"Cytisine","Sophorine","C11H14N2O","485-35-8",190.241,1,,6.11
"Cytisine","Sophorine","C11H14N2O","485-35-8",190.241,2,,13.08
"Cytosine",,"C4H5N3O","71-30-7",111.102,1,,4.6
"Cytosine",,"C4H5N3O","71-30-7",111.102,2,,12.16
"Decanedioic acid","Sebacic acid","C10H18O4","111-20-6",202.248,1,,4.59
"Decanedioic acid","Sebacic acid","C10H18O4","111-20-6",202.248,2,,5.59
"Decylamine","1-Decanamine","C10H23N","2016-57-1",157.297,,25,10.64
"D-2-Deoxyribose",,"C5H10O4","533-67-5",134.131,,25,12.61
"2,4-Diaminobutanoic acid",,"C4H10N2O2","305-62-4",118.134,1,25,1.85
"2,4-Diaminobutanoic acid",,"C4H10N2O2","305-62-4",118.134,2,25,8.24
"2,4-Diaminobutanoic acid",,"C4H10N2O2","305-62-4",118.134,3,25,10.44
"1,3-Diamino-2-propanol",,"C3H10N2O","616-29-5",90.123,1,20,9.69
"1,3-Diamino-2-propanol",,"C3H10N2O","616-29-5",90.123,2,20,7.93
"Dibenzepin",,"C18H21N3O","4498-32-2",295.379,,,8.25
"3,5-Dibromoaniline",,"C6H5Br2N","626-40-4",250.919,,25,2.34
"3,5-Dibromo-4-hydroxybenzonitrile","Bromoxynil","C7H3Br2NO","1689-84-5",276.913,,,4.06
"3,5-Dibromo-L-tyrosine",,"C9H9Br2NO3","300-38-9",338.98,1,,2.17
"3,5-Dibromo-L-tyrosine",,"C9H9Br2NO3","300-38-9",338.98,2,,6.45
"3,5-Dibromo-L-tyrosine",,"C9H9Br2NO3","300-38-9",338.98,3,,7.6
"Dibutylamine","N-Butylbutanamine","C8H19N","111-92-2",129.244,,21,11.25
"2,6-Di-tert-butylpyridine",,"C13H21N","585-48-8",191.313,,,3.58
"Dichloroacetic acid",,"C2H2Cl2O2","79-43-6",128.942,,25,1.35
"2,4-Dichloroaniline",,"C6H5Cl2N","554-00-7",162.017,,22,2.05
"2,3-Dichlorophenol",,"C6H4Cl2O","576-24-9",163.001,,25,7.44
"Dicyclohexylamine","N-Cyclohexylcyclohexanamine","C12H23N","101-83-7",181.318,,,10.4
"2',3'-Dideoxyinosine","Didanosine","C10H12N4O3","69655-05-6",236.227,,,9.12
"Diethylamine","N-Ethylethanamine","C4H11N","109-89-7",73.137,,25,10.84
"N,N-Diethylaniline",,"C10H15N","91-66-7",149.233,,25,6.57
"Diethylmethylamine","N-Ethyl-N-methylethanamine","C5H13N","616-39-7",87.164,,25,10.35
"N,N-Diethyl-2-methylaniline",,"C11H17N","606-46-2",163.26,,25,7.24
"1,7-Dihydro-6H-purine-6-thione","6-Mercaptopurine","C5H4N4S","50-44-2",152.178,1,,7.77
"1,7-Dihydro-6H-purine-6-thione","6-Mercaptopurine","C5H4N4S","50-44-2",152.178,2,,11.17
"2,5-Dihydroxybenzeneacetic acid","Homogentisic acid","C8H8O4","451-13-8",168.148,,25,4.4
"2,4-Dihydroxybenzoic acid","beta-Resorcylic acid","C7H6O4","89-86-1",154.121,1,25,3.11
"2,4-Dihydroxybenzoic acid","beta-Resorcylic acid","C7H6O4","89-86-1",154.121,2,25,8.55
"2,4-Dihydroxybenzoic acid","beta-Resorcylic acid","C7H6O4","89-86-1",154.121,3,25,14
"2,5-Dihydroxybenzoic acid","Gentisic acid","C7H6O4","490-79-9",154.121,1,25,2.97
"3,4-Dihydroxybenzoic acid","Protocatechuic acid","C7H6O4","99-50-3",154.121,1,25,4.48
"3,4-Dihydroxybenzoic acid","Protocatechuic acid","C7H6O4","99-50-3",154.121,2,25,8.83
"3,4-Dihydroxybenzoic acid","Protocatechuic acid","C7H6O4","99-50-3",154.121,3,25,12.6
"3,5-Dihydroxybenzoic acid",,"C7H6O4","99-10-5",154.121,1,25,4.04
"3,12-Dihydroxycholan-24-oic acid, (3alpha,5beta,12alpha)","Deoxycholic acid","C24H40O4","83-44-3",392.573,,20,5.15
"Dihydroxytartaric acid",,"C4H6O8","76-30-2",182.086,,25,1.92
"3,5-Diiodo-L-tyrosine",,"C9H9I2NO3","300-39-0",432.981,1,25,2.12
"3,5-Diiodo-L-tyrosine",,"C9H9I2NO3","300-39-0",432.981,2,25,5.32
"3,5-Diiodo-L-tyrosine",,"C9H9I2NO3","300-39-0",432.981,3,25,9.48
"Diisopropylamine","N-Isopropyl-2-propanamine","C6H15N","108-18-9",101.19,,25,11.05
"Dimethylamine","N-Methylmethanamine","C2H7N","124-40-3",45.084,,25,10.73
"4-(Dimethylamino)benzoic acid",,"C9H11NO2","619-84-1",165.189,1,,6.03
"4-(Dimethylamino)benzoic acid",,"C9H11NO2","619-84-1",165.189,2,,11.49
"2-Dimethylaminopurine","N,N-Dimethyl-1H-purin-6-amine","C7H9N5","938-55-6",163.18,1,20,4
"2-Dimethylaminopurine","N,N-Dimethyl-1H-purin-6-amine","C7H9N5","938-55-6",163.18,2,20,10.24
"2,6-Dimethylaniline","2,6-Xylidine","C8H11N","87-62-7",121.18,,25,3.89
"N,N-Dimethylaniline",,"C8H11N","121-69-7",121.18,,25,5.07
"Dimethylarsinic acid","Cacodylic acid","C2H7AsO2","75-60-5",137.998,1,25,1.57
"Dimethylarsinic acid","Cacodylic acid","C2H7AsO2","75-60-5",137.998,2,25,6.27
"3,5-Dimethylbenzoic acid","Mesitylenic acid","C9H10O2","499-06-9",150.174,,25,4.32
"5,5-Dimethyl-1,3-cyclohexanedione","5,5-Dimethyldihydroresorcinol","C8H12O2","126-81-8",140.18,,25,5.15
"2,2-Dimethyl-1,3-dioxane-4,6-dione","Meldrum's acid","C6H8O4","2033-24-1",144.126,,,5.1
"N,N-Dimethylglycine",,"C4H9NO2","1118-68-9",103.12,,25,9.89
"2,4-Dimethyl-1H-imidazole",,"C5H8N2","930-62-1",96.131,,25,8.36
"Dimethylmalonic acid","Dimethylpropanedioc acid","C5H8O4","595-46-0",132.116,,25,3.15
"N,N-Dimethyl-1-naphthylamine",,"C12H13N","86-56-6",171.238,,25,4.83
"N,N-Dimethyl-2-naphthylamine",,"C12H13N","2436-85-3",171.238,,25,4.566
"N,N-Dimethyl-3-nitroaniline",,"C8H10N2O2","619-31-8",166.177,,25,2.62
"5,5-Dimethyl-2,4-oxazolidinedione","Dimethadione","C5H7NO3","695-53-4",129.115,,37,6.13
"cis-2,5-Dimethylpiperazine",,"C6H14N2","6284-84-0",114.188,1,25,9.66
"cis-2,5-Dimethylpiperazine",,"C6H14N2","6284-84-0",114.188,2,25,5.2
"1,2-Dimethylpiperidine, (±)-",,"C7H15N","2512-81-4",113.201,,25,10.22
"2,2-Dimethylpropanoic acid","Trimethylacetic acid","C5H10O2","75-98-9",102.132,,20,5.03
"2,2-Dimethylpropylamine","2,2-Dimethyl-1-propanamine","C5H13N","5813-64-9",87.164,,25,10.15
"2,3-Dimethylpyridine","2,3-Lutidine","C7H9N","583-61-9",107.153,,25,6.57
"2,4-Dimethylpyridine","2,4-Lutidine","C7H9N","108-47-4",107.153,,25,6.99
"2,5-Dimethylpyridine","2,5-Lutidine","C7H9N","589-93-5",107.153,,25,6.4
"2,6-Dimethylpyridine","2,6-Lutidine","C7H9N","108-48-5",107.153,,25,6.65
"3,4-Dimethylpyridine","3,4-Lutidine","C7H9N","583-58-4",107.153,,25,6.46
"3,5-Dimethylpyridine","3,5-Lutidine","C7H9N","591-22-0",107.153,,25,6.15
"4,6-Dimethyl-2-pyrimidinamine",,"C6H9N3","767-15-7",123.155,,20,4.82
"1,2-Dimethylpyrrolidine",,"C6H13N","765-48-0",99.174,,26,10.2
"2,4-Dinitrobenzoic acid",,"C7H4N2O6","610-30-0",212.116,,25,1.43
"2,4-Dinitrophenol",,"C6H4N2O5","51-28-5",184.106,,25,4.07
"2,5-Dinitrophenol",,"C6H4N2O5","329-71-5",184.106,,15,5.15
"Dinoseb","Phenol, 2-(1-methylpropyl)-4,6-dinitro-","C10H12N2O5","88-85-7",240.212,,,4.62
"Diphenylamine","N-Phenylbenzenamine","C12H11N","122-39-4",169.222,,25,0.79
"4-[(Dipropylamino)sulfonyl]benzoic acid","Probenecid","C13H19NO4S","57-66-9",285.36,,,5.8
"Dodecylamine","1-Dodecanamine","C12H27N","124-22-1",185.349,,25,10.63
"Dopamine","4-(2-Aminoethyl)-1,2-benzenediol","C8H11NO2","51-61-6",153.179,1,25,8.9
"Dopamine","4-(2-Aminoethyl)-1,2-benzenediol","C8H11NO2","51-61-6",153.179,2,25,10.6
"Droperidol","Dehydrobenzperidol","C22H22FN3O2","548-73-2",379.427,,,7.64
"Emetine","6',7',10,11-Tetramethoxyemetan","C29H40N2O4","483-18-1",480.639,1,,5.77
"Emetine","6',7',10,11-Tetramethoxyemetan","C29H40N2O4","483-18-1",480.639,2,,6.64
"d-Ephedrine","alpha-[1-(Methylamino)ethyl]benzenemethanol, [S-(R*,S*)]-","C10H15NO","321-98-2",165.232,,10,10.139
"l-Ephedrine","alpha-[1-(Methylamino)ethyl]benzenemethanol, [R-(R*,S*)]-","C10H15NO","299-42-3",165.232,,10,9.958
"Epinephrine","D-Adrenaline","C9H13NO3","51-43-4",183.204,1,25,8.66
"Epinephrine","D-Adrenaline","C9H13NO3","51-43-4",183.204,2,25,9.95
"Ergometrinine",,"C19H23N3O2","479-00-5",325.405,,,7.3
"Ergonovine","Ergometrine","C19H23N3O2","60-79-7",325.405,,,6.8
"Erythromycin","Propiocine","C37H67NO13","114-07-8",733.927,,,8.8
"Ethacrynic acid","[2,3-Dichloro-4-(2-methylene-1-oxobutyl)phenoxy]acetic acid","C13H12Cl2O4","58-54-8",303.138,,,3.5
"1,2-Ethanediamine","Ethylenediamine","C2H8N2","107-15-3",60.098,1,25,9.92
"1,2-Ethanediamine","Ethylenediamine","C2H8N2","107-15-3",60.098,2,25,6.86
"1,2-Ethanediol","Ethylene glycol","C2H6O2","107-21-1",62.068,,25,15.1
"Ethanimidamide",,"C2H6N2","143-37-3",58.082,,25,12.1
"Ethanol","Ethyl alcohol","C2H6O","64-17-5",46.068,,25,15.5
"Ethanolamine","Glycinol","C2H7NO","141-43-5",61.083,,25,9.5
"Ethoxyacetic acid",,"C4H8O3","627-03-2",104.105,,18,3.65
"2-Ethoxyaniline","o-Phenetidine","C8H11NO","94-70-2",137.179,,28,4.43
"3-Ethoxyaniline","m-Phenetidine","C8H11NO","621-33-0",137.179,,25,4.18
"4-Ethoxyaniline","p-Phenetidine","C8H11NO","156-43-4",137.179,,28,5.2
"Ethyl acetoacetate",,"C6H10O3","141-97-9",130.141,,25,10.68
"Ethylamine","Ethanamine","C2H7N","75-04-7",45.084,,25,10.65
"Ethyl 4-aminobenzoate","Benzocaine","C9H11NO2","94-09-7",165.189,,,2.5
"N-Ethylaniline",,"C8H11N","103-69-5",121.18,,25,5.12
"2-Ethyl-1H-benzimidazole",,"C9H10N2","1848-84-6",146.188,,25,6.18
"O-Ethyl S-[2-(diisopropylamino)ethyl] methylphosphonothioate","VX Nerve agent","C11H26NO2PS","50782-69-9",267.369,,,7.9
"Ethyleneimine","Aziridine","C2H5N","151-56-4",43.068,,25,8.04
"alpha-Ethylglutamic acid",,"C7H13NO4","20913-68-2",175.183,1,25,3.846
"alpha-Ethylglutamic acid",,"C7H13NO4","20913-68-2",175.183,2,25,7.838
"N-Ethylmorpholine",,"C6H13NO","100-74-3",115.173,,25,7.67
"1-Ethylpiperidine",,"C7H15N","766-09-6",113.201,,23,10.45
"2-Ethylpyridine",,"C7H9N","100-71-0",107.153,,25,5.89
"Etoposide",,"C29H32O13","33419-42-0",588.556,,,9.8
"Fluoroacetic acid","Fluoroethanoic acid","C2H3FO2","144-49-0",78.042,,25,2.59
"2-Fluoroaniline",,"C6H6FN","348-54-9",111.117,,25,3.2
"3-Fluoroaniline",,"C6H6FN","372-19-0",111.117,,25,3.59
"4-Fluoroaniline",,"C6H6FN","371-40-4",111.117,,25,4.65
"2-Fluorobenzoic acid",,"C7H5FO2","445-29-4",140.112,,25,3.27
"3-Fluorobenzoic acid",,"C7H5FO2","455-38-9",140.112,,25,3.86
"4-Fluorobenzoic acid",,"C7H5FO2","456-22-4",140.112,,25,4.15
"5-Fluorocytosine","4-Amino-5-fluoro-2-hydroxypyrimidine","C4H4FN3O","2022-85-7",129.092,,,3.26
"2-Fluorophenol",,"C6H5FO","367-12-4",112.101,,25,8.73
"3-Fluorophenol",,"C6H5FO","372-20-3",112.101,,25,9.29
"4-Fluorophenol",,"C6H5FO","371-41-5",112.101,,25,9.89
"2-Fluoropyridine",,"C5H4FN","372-48-5",97.091,,25,-0.44
"Folinic acid","5-Formyl-5,6,7,8-tetrahydrofolic acid","C20H23N7O7","58-05-9",473.44,1,,3.1
"Folinic acid","5-Formyl-5,6,7,8-tetrahydrofolic acid","C20H23N7O7","58-05-9",473.44,2,,4.8
"Folinic acid","5-Formyl-5,6,7,8-tetrahydrofolic acid","C20H23N7O7","58-05-9",473.44,3,,10.4
"Formaldehyde","Methanal","CH2O","50-00-0",30.026,,25,13.27
"Formic acid","Methanoic acid","CH2O2","64-18-6",46.026,,25,3.75
"3-Formylbenzoic acid",,"C8H6O3","619-21-6",150.132,,25,3.84
"4-Formylbenzoic acid",,"C8H6O3","619-66-9",150.132,,25,3.77
"beta-D-Fructose","beta-Levulose","C6H12O6","53188-23-1",180.155,,25,12.27
"Fumaric acid","trans-2-Butenedioic acid","C4H4O4","110-17-8",116.073,1,25,3.02
"Fumaric acid","trans-2-Butenedioic acid","C4H4O4","110-17-8",116.073,2,25,4.38
"2-Furancarboxylic acid","2-Furoic acid","C5H4O3","88-14-2",112.084,,25,3.16
"3-Furancarboxylic acid",,"C5H4O3","488-93-7",112.084,,25,3.9
"Furethidine",,"C21H31NO4","2385-81-1",361.476,,,7.48
"Gibberellic acid",,"C19H22O6","77-06-5",346.374,,,4
"alpha-D-Glucose",,"C6H12O6","26655-34-5",180.155,,25,12.46
"L-Glutamic acid","(S)-2-Aminopentanedioic acid","C5H9NO4","56-86-0",147.13,1,25,2.13
"L-Glutamic acid","(S)-2-Aminopentanedioic acid","C5H9NO4","56-86-0",147.13,2,25,4.31
"L-Glutamic acid","(S)-2-Aminopentanedioic acid","C5H9NO4","56-86-0",147.13,3,,9.67
"L-Glutamine","2-Aminoglutaramic acid","C5H10N2O3","56-85-9",146.144,1,25,2.17
"L-Glutamine","2-Aminoglutaramic acid","C5H10N2O3","56-85-9",146.144,2,25,9.13
"Glutathione","L-γ-Glutamyl-L-cysteinylglycine","C10H17N3O6S","70-18-8",307.323,1,25,2.12
"Glutathione","L-γ-Glutamyl-L-cysteinylglycine","C10H17N3O6S","70-18-8",307.323,2,25,3.59
"Glutathione","L-γ-Glutamyl-L-cysteinylglycine","C10H17N3O6S","70-18-8",307.323,3,25,8.75
"Glutathione","L-γ-Glutamyl-L-cysteinylglycine","C10H17N3O6S","70-18-8",307.323,4,25,9.65
"Glyceric acid",,"C3H6O4","473-81-4",106.078,,25,3.52
"Glycerol","1,2,3-Propanetriol","C3H8O3","56-81-5",92.094,,25,14.15
"Glycine","Aminoacetic acid","C2H5NO2","56-40-6",75.067,1,25,2.35
"Glycine","Aminoacetic acid","C2H5NO2","56-40-6",75.067,2,25,9.78
"Glycocholic acid","N-(3,7,12-Trihydroxy-24-oxocholaN-24-yl)glycine, (3alpha,5beta,7alpha,12alpha)","C26H43NO6","475-31-0",465.622,,,4.4
"Glycolic acid",,"C2H4O3","79-14-1",76.051,,25,3.83
"Glycylalanine","N-Alanylglycine","C5H10N2O3","1188-01-8",146.144,,25,3.15
"L-Glycylasparagine",,"C6H11N3O4","1999-33-3",189.169,1,25,2.942
"L-Glycylasparagine",,"C6H11N3O4","1999-33-3",189.169,2,18,8.44
"N-Glycylglycine","2-(Aminoacetamido)acetic acid","C4H8N2O3","556-50-3",132.118,1,25,3.14
"N-Glycylglycine","2-(Aminoacetamido)acetic acid","C4H8N2O3","556-50-3",132.118,2,,8.17
"N-(N-Glycylglycyl)glycine",,"C6H11N3O4","556-33-2",189.169,1,25,3.225
"N-(N-Glycylglycyl)glycine",,"C6H11N3O4","556-33-2",189.169,2,25,8.09
"N-Glycyl-L-leucine",,"C8H16N2O3","869-19-2",188.224,,25,3.18
"N-Glycylserine, (DL)-",,"C5H10N2O4","687-38-7",162.144,1,25,2.98
"N-Glycylserine, (DL)-",,"C5H10N2O4","687-38-7",162.144,2,25,8.38
"Glyoxylic acid",,"C2H2O3","298-12-4",74.035,,25,3.18
"Guanidine","Aminomethanamidine","CH5N3","113-00-8",59.071,,25,13.6
"Guanidinoacetic acid","Glycocyamine","C3H7N3O2","352-97-6",117.107,,25,2.82
"Guanine",,"C5H5N5O","73-40-5",151.127,,40,9.92
"Haloperidol",,"C21H23ClFNO2","52-86-8",375.865,,,8.3
"Harmaline","4,9-Dihydro-7-methoxy-1-methyl-3H-pyrido[3,4-b]indole","C13H14N2O","304-21-2",214.262,,,4.2
"Harmine","7-Methoxy-1-methyl-9H-pyrido[3,4-b]indole","C13H12N2O","442-51-3",212.246,,,7.7
"2-Heptanamine","2-Aminoheptane","C7H17N","123-82-0",115.217,,19,10.7
"Heptanedioic acid","Pimelic acid","C7H12O4","111-16-0",160.168,1,25,4.71
"Heptanedioic acid","Pimelic acid","C7H12O4","111-16-0",160.168,2,25,5.58
"Heptanoic acid","Enanthic acid","C7H14O2","111-14-8",130.185,,25,4.89
"Heptylamine","1-Heptanamine","C7H17N","111-68-2",115.217,,25,10.67
"Hexadecylamine","1-Hexadecanamine","C16H35N","143-27-1",241.456,,25,10.61
"2,4-Hexadienoic acid","Sorbic acid","C6H8O2","110-44-1",112.127,,25,4.76
"Hexamethyldisilazane",,"C6H19NSi2","999-97-3",161.393,,,7.55
"1,6-Hexanediamine","Hexamethylenediamine","C6H16N2","124-09-4",116.204,1,0,11.86
"1,6-Hexanediamine","Hexamethylenediamine","C6H16N2","124-09-4",116.204,2,0,10.76
"1,6-Hexanedioic acid","Adipic acid","C6H10O4","124-04-9",146.141,1,18,4.41
"1,6-Hexanedioic acid","Adipic acid","C6H10O4","124-04-9",146.141,2,18,5.41
"Hexanoic acid","Caproic acid","C6H12O2","142-62-1",116.158,,25,4.85
"Hexylamine","1-Hexanamine","C6H15N","111-26-2",101.19,,25,10.56
"Histamine",,"C5H9N3","51-45-6",111.145,1,25,6.04
"Histamine",,"C5H9N3","51-45-6",111.145,2,25,9.75
"L-Histidine","Glyoxaline-5-alanine","C6H9N3O2","71-00-1",155.154,1,25,1.8
"L-Histidine","Glyoxaline-5-alanine","C6H9N3O2","71-00-1",155.154,2,25,6.04
"L-Histidine","Glyoxaline-5-alanine","C6H9N3O2","71-00-1",155.154,3,25,9.33
"DL-Homocysteine","DL-2-Amino-4-mercaptobutanoic acid","C4H9NO2S","454-29-5",135.185,1,25,2.22
"DL-Homocysteine","DL-2-Amino-4-mercaptobutanoic acid","C4H9NO2S","454-29-5",135.185,2,25,8.87
"DL-Homocysteine","DL-2-Amino-4-mercaptobutanoic acid","C4H9NO2S","454-29-5",135.185,3,25,10.86
"Homocystine",,"C8H16N2O4S2","870-93-9",268.354,1,25,1.59
"Homocystine",,"C8H16N2O4S2","870-93-9",268.354,2,25,2.54
"Homocystine",,"C8H16N2O4S2","870-93-9",268.354,3,25,8.52
"Homocystine",,"C8H16N2O4S2","870-93-9",268.354,4,25,9.44
"L-Homoserine","2-Amino-4-hydroxybutanoic acid, (S)-","C4H9NO3","672-15-1",119.119,1,25,2.71
"L-Homoserine","2-Amino-4-hydroxybutanoic acid, (S)-","C4H9NO3","672-15-1",119.119,2,25,9.62
"Hydrastine",,"C21H21NO6","118-08-1",383.395,,,7.8
"Hydrastinine","5,6,7,8-Tetrahydro-6-methyl-1,3-dioxolo[4,5-g]isoquinolin-5-ol","C11H13NO3","6592-85-4",207.226,,,11.38
"Hydrochlorothiazide",,"C7H8ClN3O4S2","58-93-5",297.74,1,,7.9
"Hydrochlorothiazide",,"C7H8ClN3O4S2","58-93-5",297.74,2,,9.2
"Hydroflumethiazide",,"C8H8F3N3O4S2","135-09-1",331.293,1,,8.9
"Hydroflumethiazide",,"C8H8F3N3O4S2","135-09-1",331.293,2,,9.7
"Hydroquinine",,"C20H26N2O2","522-66-7",326.432,,,5.33
"p-Hydroquinone","1,4-Benzenediol","C6H6O2","123-31-9",110.111,1,25,9.85
"p-Hydroquinone","1,4-Benzenediol","C6H6O2","123-31-9",110.111,2,25,11.4
"3-Hydroxybenzaldehyde","3-Formylphenol","C7H6O2","100-83-4",122.122,,25,8.98
"4-Hydroxybenzaldehyde","4-Formylphenol","C7H6O2","123-08-0",122.122,,25,7.61
"alpha-Hydroxybenzeneacetic acid, (±)-","DL-Mandelic acid","C8H8O3","611-72-3",152.148,,25,3.37
"3-Hydroxybenzenesulfonic acid","m-Phenolsulfonic acid","C6H6O4S","585-38-6",174.175,,25,9.07
"4-Hydroxybenzenesulfonic acid","p-Phenolsulfonic acid","C6H6O4S","98-67-9",174.175,,25,9.11
"2-Hydroxybenzoic acid","Salicylic acid","C7H6O3","69-72-7",138.121,1,20,2.98
"2-Hydroxybenzoic acid","Salicylic acid","C7H6O3","69-72-7",138.121,2,20,13.6
