"name","synonym","formula","CAS","MW","step","T","pKa"
"3-Hydroxybenzoic acid",,"C7H6O3","99-06-9",138.121,1,25,4.08
"3-Hydroxybenzoic acid",,"C7H6O3","99-06-9",138.121,2,19,9.92
"4-Hydroxybenzoic acid",,"C7H6O3","99-96-7",138.121,1,25,4.57
"4-Hydroxybenzoic acid",,"C7H6O3","99-96-7",138.121,2,25,9.46
"2-Hydroxybenzonitrile",,"C7H5NO","611-20-1",119.121,,25,6.86
"3-Hydroxybenzonitrile",,"C7H5NO","873-62-1",119.121,,25,8.61
"4-Hydroxybenzonitrile",,"C7H5NO","767-00-0",119.121,,25,7.97
"2-Hydroxybiphenyl","[1,1'-Biphenyl]-2-ol","C12H10O","90-43-7",170.206,,25,10.01
"3-Hydroxybiphenyl","[1,1'-Biphenyl]-3-ol","C12H10O","580-51-8",170.206,,25,9.64
"4-Hydroxybiphenyl","[1,1'-Biphenyl]-4-ol","C12H10O","92-69-3",170.206,,25,9.55
"3-Hydroxybutanoic acid, (±)-",,"C4H8O3","625-71-8",104.105,,25,4.7
"4-Hydroxybutanoic acid",,"C4H8O3","591-81-1",104.105,,25,4.72
"1-Hydroxy-1,1-diphosphonoethane","Etidronic acid","C2H8O7P2","2809-21-4",206.028,1,,1.35
"1-Hydroxy-1,1-diphosphonoethane","Etidronic acid","C2H8O7P2","2809-21-4",206.028,2,,2.87
"1-Hydroxy-1,1-diphosphonoethane","Etidronic acid","C2H8O7P2","2809-21-4",206.028,3,,7.03
"1-Hydroxy-1,1-diphosphonoethane","Etidronic acid","C2H8O7P2","2809-21-4",206.028,4,,11.3
"5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one","Kojic acid","C6H6O4","501-30-4",142.11,,,7.9
"alpha-Hydroxy-alpha-methylbenzeneacetic acid","Atrolactic acid","C9H10O3","515-30-0",166.173,,25,3.47
"alpha-Hydroxy-alpha-phenylbenzeneacetic acid","Benzilic acid","C14H12O3","76-93-7",228.243,,25,3.04
"1-(2-Hydroxyphenyl)ethanone","2-Hydroxyacetophenone","C8H8O2","118-93-4",136.149,,25,10.06
"1-(3-Hydroxyphenyl)ethanone","3-Hydroxyacetophenone","C8H8O2","121-71-1",136.149,,25,9.19
"1-(4-Hydroxyphenyl)ethanone","4-Hydroxyacetophenone","C8H8O2","99-93-4",136.149,,25,8.05
"trans-4-Hydroxy-L-proline",,"C5H9NO3","51-35-4",131.13,1,25,1.82
"trans-4-Hydroxy-L-proline",,"C5H9NO3","51-35-4",131.13,2,25,9.66
"Hydroxypropanedioic acid","Tartronic acid","C3H4O5","80-69-3",120.061,1,,2.42
"Hydroxypropanedioic acid","Tartronic acid","C3H4O5","80-69-3",120.061,2,,4.54
"3-Hydroxypropanoic acid","Hydracrylic acid","C3H6O3","503-66-2",90.078,,25,4.51
"5-Hydroxytryptamine","3-(2-Aminoethyl)indol-5-ol","C10H12N2O","50-67-9",176.214,1,25,9.8
"5-Hydroxytryptamine","3-(2-Aminoethyl)indol-5-ol","C10H12N2O","50-67-9",176.214,2,25,11.1
"Hyoscyamine","Tropine tropate","C17H23NO3","101-31-5",289.37,,21,9.7
"Hypoxanthine",,"C5H4N4O","68-94-0",136.112,,25,8.7
"Imazapyr","2-(4-Isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid","C13H15N3O3","81334-34-1",261.276,1,,1.9
"Imazapyr","2-(4-Isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid","C13H15N3O3","81334-34-1",261.276,2,,3.6
"Imazethapyr","(RS)-5-Ethyl-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid","C15H19N3O3","81335-77-5",289.33,1,,2.1
"Imazethapyr","(RS)-5-Ethyl-2-(4-isopropyl-4-methyl-5-oxo-2-imidazolin-2-yl)nicotinic acid","C15H19N3O3","81335-77-5",289.33,2,,3.9
"Imidazole","1,3-Diazole","C3H4N2","288-32-4",68.077,,25,6.99
"Iminodiacetic acid","Diglycine","C4H7NO4","142-73-4",133.104,1,,2.98
"Iminodiacetic acid","Diglycine","C4H7NO4","142-73-4",133.104,2,,9.89
"1-Indanamine","1-Aminoindane","C9H11N","34698-41-4",133.19,,22,9.21
"1H-Indole-3-acetic acid","3-Indolylacetic acid","C10H9NO2","87-51-4",175.184,,,4.75
"Indomethacin",,"C19H16ClNO4","53-86-1",357.788,,,4.5
"Iocetamic acid",,"C12H13I3N2O3","16034-77-8",613.955,,,4
"Iodoacetic acid",,"C2H3IO2","64-69-7",185.948,,25,3.18
"2-Iodoaniline",,"C6H6IN","615-43-0",219.023,,25,2.54
"3-Iodoaniline",,"C6H6IN","626-01-7",219.023,,25,3.58
"4-Iodoaniline",,"C6H6IN","540-37-4",219.023,,25,3.81
"2-Iodobenzoic acid",,"C7H5IO2","88-67-5",248.018,,25,2.86
"3-Iodobenzoic acid",,"C7H5IO2","618-51-9",248.018,,25,3.87
"4-Iodobenzoic acid",,"C7H5IO2","619-58-9",248.018,,25,4
"2-Iodophenol",,"C6H5IO","533-58-4",220.007,,25,8.51
"3-Iodophenol",,"C6H5IO","626-02-8",220.007,,25,9.03
"4-Iodophenol",,"C6H5IO","540-38-5",220.007,,25,9.33
"L-3-Iodotyrosine",,"C9H10INO3","70-78-0",307.084,1,25,2.2
"L-3-Iodotyrosine",,"C9H10INO3","70-78-0",307.084,2,25,8.7
"L-3-Iodotyrosine",,"C9H10INO3","70-78-0",307.084,3,25,9.1
"Iopanoic acid",,"C11H12I3NO2","96-83-3",570.932,,,4.8
"Isocitric acid",,"C6H8O7","320-77-4",192.124,1,25,3.29
"Isocitric acid",,"C6H8O7","320-77-4",192.124,2,25,4.71
"Isocitric acid",,"C6H8O7","320-77-4",192.124,3,25,6.4
"L-Isoleucine","2-Amino-3-methylpentanoic acid","C6H13NO2","73-32-5",131.173,1,25,2.32
"L-Isoleucine","2-Amino-3-methylpentanoic acid","C6H13NO2","73-32-5",131.173,2,25,9.76
"Isophthalic acid","1,3-Benzenedicarboxylic acid","C8H6O4","121-91-5",166.132,1,25,3.7
"Isophthalic acid","1,3-Benzenedicarboxylic acid","C8H6O4","121-91-5",166.132,2,25,4.6
"Isopropylamine","2-Propanamine","C3H9N","75-31-0",59.11,,25,10.63
"N-Isopropylaniline",,"C9H13N","768-52-5",135.206,,25,5.77
"Isoproterenol","4-[1-Hydroxy-2-[isopropylamino]ethyl]-1,2-benzenediol","C11H17NO3","7683-59-2",211.258,,,8.64
"1-Isoquinolinamine",,"C9H8N2","1532-84-9",144.173,,20,7.62
"3-Isoquinolinamine",,"C9H8N2","25475-67-6",144.173,,20,5.05
"Isoquinoline","Benzo[c]pyridine","C9H7N","119-65-3",129.159,,20,5.4
"7-Isoquinolinol",,"C9H7NO","7651-83-4",145.158,1,20,5.68
"7-Isoquinolinol",,"C9H7NO","7651-83-4",145.158,2,20,8.9
"Isoxazole","1-Oxa-2-azacyclopentadiene","C3H3NO","288-14-2",69.062,,25,-2
"Ketamine","2-(2-Chlorophenyl)-2-(methylamino)cyclohexanone, (±)-","C13H16ClNO","6740-88-1",237.725,,,7.5
"D-Lactic acid","D-2-Hydroxypropanoic acid","C3H6O3","10326-41-7",90.078,,25,3.86
"L-Leucine","2-Amino-4-methylpentanoic acid","C6H13NO2","61-90-5",131.173,1,25,2.33
"L-Leucine","2-Amino-4-methylpentanoic acid","C6H13NO2","61-90-5",131.173,2,25,9.74
"N-Leucylglycine",,"C8H16N2O3","686-50-0",188.224,1,25,3.25
"N-Leucylglycine",,"C8H16N2O3","686-50-0",188.224,2,25,8.2
"Levodopa","3-Hydroxy-L-tyrosine","C9H11NO4","59-92-7",197.188,1,25,2.32
"Levodopa","3-Hydroxy-L-tyrosine","C9H11NO4","59-92-7",197.188,2,25,8.72
"Levodopa","3-Hydroxy-L-tyrosine","C9H11NO4","59-92-7",197.188,3,25,9.96
"Levodopa","3-Hydroxy-L-tyrosine","C9H11NO4","59-92-7",197.188,4,25,11.79
"Lisinopril",,"C21H35N3O7","83915-83-7",441.519,1,,2.5
"Lisinopril",,"C21H35N3O7","83915-83-7",441.519,2,,4
"Lisinopril",,"C21H35N3O7","83915-83-7",441.519,3,,6.7
"Lisinopril",,"C21H35N3O7","83915-83-7",441.519,4,,10.1
"Lycodine",,"C16H22N2","20316-18-1",242.359,1,,3.97
"Lycodine",,"C16H22N2","20316-18-1",242.359,2,,8.08
"Lysergic acid",,"C16H16N2O2","82-58-6",268.31,1,,3.44
"Lysergic acid",,"C16H16N2O2","82-58-6",268.31,2,,7.68
"L-Lysine","2,6-Diaminohexanoic acid, (L)-","C6H14N2O2","56-87-1",146.187,1,25,2.16
"L-Lysine","2,6-Diaminohexanoic acid, (L)-","C6H14N2O2","56-87-1",146.187,2,25,9.06
"L-Lysine","2,6-Diaminohexanoic acid, (L)-","C6H14N2O2","56-87-1",146.187,3,25,10.54
"Maleic acid","cis-2-Butenedioic acid","C4H4O4","110-16-7",116.073,1,25,1.92
"Maleic acid","cis-2-Butenedioic acid","C4H4O4","110-16-7",116.073,2,25,6.23
"Malic acid","Hydroxybutanedioic acid","C4H6O5","617-48-1",134.088,1,25,3.4
"Malic acid","Hydroxybutanedioic acid","C4H6O5","617-48-1",134.088,2,25,5.11
"Malonic acid",,"C3H4O4","141-82-2",104.062,1,25,2.85
"Malonic acid",,"C3H4O4","141-82-2",104.062,2,25,5.7
"alpha-Maltose",,"C12H22O11","4482-75-1",342.296,,21,12.05
"D-Mannitol","Cordycepic acid","C6H14O6","69-65-8",182.171,,18,13.5
"D-Mannose","Seminose","C6H12O6","3458-28-4",180.155,,25,12.08
"Mefenamic acid","2-[(2,3-Dimethylphenyl)amino]benzoic acid","C15H15NO2","61-68-7",241.286,,,4.2
"Mefluidide",,"C11H13F3N2O3S","53780-34-0",310.292,,,4.6
"2-Mercaptoethanol",,"C2H6OS","60-24-2",78.133,,25,9.72
"Methanethiol","Methyl mercaptan","CH4S","74-93-1",48.108,,25,10.33
"Methanol","Methyl alcohol","CH4O","67-56-1",32.042,,25,15.5
"Metharbital","5,5-Diethyl-1-methyl-2,4,6(1H,3H,5H)-pyrimidinetrione","C9H14N2O3","50-11-3",198.218,,,8.45
"Methazolamide",,"C5H8N4O3S2","554-57-4",236.273,,,7.3
"L-Methionine",,"C5H11NO2S","63-68-3",149.212,1,25,2.13
"L-Methionine",,"C5H11NO2S","63-68-3",149.212,2,25,9.27
"Methoxamine hydrochloride",,"C11H18ClNO3","61-16-5",247.719,,25,9.2
"2-Methoxyaniline","o-Anisidine","C7H9NO","90-04-0",123.152,,25,4.53
"3-Methoxyaniline","m-Anisidine","C7H9NO","536-90-3",123.152,,25,4.2
"4-Methoxyaniline","p-Anisidine","C7H9NO","104-94-9",123.152,,25,5.36
"2-Methoxybenzoic acid",,"C8H8O3","579-75-9",152.148,,25,4.08
"3-Methoxybenzoic acid",,"C8H8O3","586-38-9",152.148,,25,4.1
"4-Methoxybenzoic acid","p-Anisic acid","C8H8O3","100-09-4",152.148,,25,4.5
"2-Methoxyethanol","Ethylene glycol monomethyl ether","C3H8O2","109-86-4",76.095,,25,14.8
"2-Methoxyethylamine","1-Amino-2-methoxyethane","C3H9NO","109-85-3",75.109,,25,9.4
"2-(2-Methoxyethyl)pyridine","Metyridine","C8H11NO","114-91-0",137.179,,,5.5
"2-Methoxyphenol","Guaiacol","C7H8O2","90-05-1",124.138,,25,9.98
"3-Methoxyphenol",,"C7H8O2","150-19-6",124.138,,25,9.65
"4-Methoxyphenol",,"C7H8O2","150-76-5",124.138,,25,10.21
"2-Methoxypyridine",,"C6H7NO","1628-89-3",109.126,,20,3.28
"3-Methoxypyridine",,"C6H7NO","7295-76-3",109.126,,25,4.78
"4-Methoxypyridine",,"C6H7NO","620-08-6",109.126,,25,6.58
"6-Methoxyquinoline",,"C10H9NO","5263-87-6",159.184,,20,5.03
"Methyclothiazide",,"C9H11Cl2N3O4S2","135-07-9",360.237,,,9.4
"Methylamine","Methanamine","CH5N","74-89-5",31.058,,25,10.66
"2-(Methylamino)benzoic acid",,"C8H9NO2","119-68-6",151.163,,25,5.34
"3-(Methylamino)benzoic acid",,"C8H9NO2","51524-84-6",151.163,,25,5.1
"4-(Methylamino)benzoic acid",,"C8H9NO2","10541-83-0",151.163,,25,5.04
"2-Methylaniline","o-Toluidine","C7H9N","95-53-4",107.153,,25,4.45
"3-Methylaniline","m-Toluidine","C7H9N","108-44-1",107.153,,25,4.71
"4-Methylaniline","p-Toluidine","C7H9N","106-49-0",107.153,,25,5.08
"N-Methylaniline",,"C7H9N","100-61-8",107.153,,25,4.85
"alpha-Methylbenzeneacetic acid, (±)-",,"C9H10O2","2328-24-7",150.174,,25,4.64
"2-Methyl-1H-benzimidazole",,"C8H8N2","615-15-6",132.163,,25,6.19
"3-Methyl-1-butanamine","Isopentylamine","C5H13N","107-85-7",87.164,,25,10.6
"2-Methyl-2-butanamine",,"C5H13N","594-39-8",87.164,,19,10.85
"2-Methylbutanoic acid","(±)-2-Methylbutyric acid","C5H10O2","600-07-7",102.132,,25,4.8
"3-Methylbutanoic acid","Isovaleric acid","C5H10O2","503-74-2",102.132,,25,4.77
"trans-o-Methylcinnamic acid",,"C10H10O2","2373-76-4",162.185,,25,4.5
"trans-m-Methylcinnamic acid",,"C10H10O2","3029-79-6",162.185,,25,4.44
"trans-p-Methylcinnamic acid",,"C10H10O2","1866-39-3",162.185,,25,4.56
"alpha-Methylenebenzeneacetic acid","Atropic acid","C9H8O2","492-38-6",148.159,,,4.35
"Methyl alpha-D-glucopyranoside","alpha-Methylglucoside","C7H14O6","97-30-3",194.182,,25,13.71
"N-Methyl-2-heptanamine",,"C8H19N","540-43-2",129.244,,17,10.99
"L-1-Methylhistidine",,"C7H11N3O2","332-80-9",169.181,1,25,1.69
"L-1-Methylhistidine",,"C7H11N3O2","332-80-9",169.181,2,25,6.48
"L-1-Methylhistidine",,"C7H11N3O2","332-80-9",169.181,3,25,8.85
"L-3-Methylhistidine",,"C7H11N3O2","368-16-1",169.181,1,25,1.92
"L-3-Methylhistidine",,"C7H11N3O2","368-16-1",169.181,2,25,6.56
"L-3-Methylhistidine",,"C7H11N3O2","368-16-1",169.181,3,25,8.73
"O-Methylhydroxylamine","Methoxyamine","CH5NO","67-62-9",47.057,,,12.5
"1-Methylimidazol",,"C4H6N2","616-47-7",82.104,,25,6.95
"Methylmalonic acid","2-Methylpropanedioc acid","C4H6O4","516-05-2",118.089,1,25,3.07
"Methylmalonic acid","2-Methylpropanedioc acid","C4H6O4","516-05-2",118.089,2,25,5.76
"4-Methylmorpholine",,"C5H11NO","109-02-4",101.147,,25,7.38
"Methyl-1-naphthylamine","N-Methyl-1-naphthalenamine","C11H11N","2216-68-4",157.212,,27,3.67
"3-Methylpentanedioic acid","3-Methylglutaric acid","C6H10O4","626-51-7",146.141,,25,4.24
"4-Methylpentanoic acid",,"C6H12O2","646-07-1",116.158,,18,4.84
"Methylphenidate",,"C14H19NO2","113-45-1",233.307,,,8.9
"1-Methylpiperidine",,"C6H13N","626-67-5",99.174,,25,10.38
"2-Methylpropanoic acid","Isobutyric acid","C4H8O2","79-31-2",88.106,,20,4.84
"3-Methylpyrazinamine","2-Amino-3-methylpyrazine","C5H7N3","19838-08-5",109.13,,25,3.39
"2-Methylpyrazine",,"C5H6N2","109-08-0",94.115,,27,1.45
"N-Methyl-4-pyridinamine",,"C6H8N2","1121-58-0",108.141,,20,9.65
"2-Methylpyridine","2-Picoline","C6H7N","109-06-8",93.127,,25,6
"3-Methylpyridine","3-Picoline","C6H7N","108-99-6",93.127,,25,5.7
"4-Methylpyridine","4-Picoline","C6H7N","108-89-4",93.127,,25,5.99
"N-Methylpyrrolidine",,"C5H11N","120-94-5",85.148,,25,10.46
"2-Methylquinoline","Quinaldine","C10H9N","91-63-4",143.185,,20,5.83
"4-Methylquinoline","Lepidine","C10H9N","491-35-0",143.185,,20,5.67
"5-Methylquinoline",,"C10H9N","7661-55-4",143.185,,20,5.2
"Methyl Red","Benzoic acid, 2-[[4-(dimethylamino)phenyl]azo]-","C15H15N3O2","493-52-7",269.299,1,,2.5
"Methyl Red","Benzoic acid, 2-[[4-(dimethylamino)phenyl]azo]-","C15H15N3O2","493-52-7",269.299,2,,9.5
"Methylsuccinic acid",,"C5H8O4","636-60-2",132.116,1,25,4.13
"Methylsuccinic acid",,"C5H8O4","636-60-2",132.116,2,25,5.64
"(Methylthio)acetic acid",,"C3H6O2S","2444-37-3",106.144,,25,3.66
"2-(Methylthio)aniline",,"C7H9NS","2987-53-3",139.218,,25,3.45
"4-(Methylthio)aniline",,"C7H9NS","104-96-1",139.218,,25,4.35
"4-(Methylthio)phenol",,"C7H8OS","1073-72-9",140.203,,25,9.53
"6-Methyl-1,2,4-triazine-3,5(2H,4H)-dione","6-Azathymine","C4H5N3O2","932-53-6",127.102,,,7.6
"Minoxidil",,"C9H15N5O","38304-91-5",209.248,,,4.61
"Morphine",,"C17H19NO3","57-27-2",285.338,1,25,8.21
"Morphine",,"C17H19NO3","57-27-2",285.338,2,20,9.85
"Morpholine","Tetrahydro-1,4-oxazine","C4H9NO","110-91-8",87.12,,25,8.5
"Mycophenolic acid",,"C17H20O6","24280-93-1",320.337,,,4.5
"Nadolol",,"C17H27NO4","42200-33-9",309.401,,,9.67
"1-Naphthalenecarboxylic acid","1-Naphthoic acid","C11H8O2","86-55-5",172.181,,25,3.69
"2-Naphthalenecarboxylic acid","2-Naphthoic acid","C11H8O2","93-09-4",172.181,,25,4.16
"1-Naphthol","1-Naphthalenol","C10H8O","90-15-3",144.17,,25,9.39
"2-Naphthol","2-Naphthalenol","C10H8O","135-19-3",144.17,,25,9.63
"1-Naphthylamine","alpha-Naphthylamine","C10H9N","134-32-7",143.185,,25,3.92
"2-Naphthylamine","beta-Naphthylamine","C10H9N","91-59-8",143.185,,25,4.16
"Neobornylamine","1,7,7-Trimethylbicyclo[2.2.1]heptan-2-amine, (1R-exo)-","C10H19N","2223-67-8",153.265,,25,10.01
"Neutral Red",,"C15H17ClN4","553-24-2",288.776,,,6.7
"L-Nicotine","3-(1-Methyl-2-pyrrolidinyl)pyridine, (S)-","C10H14N2","54-11-5",162.231,1,,8.02
"L-Nicotine","3-(1-Methyl-2-pyrrolidinyl)pyridine, (S)-","C10H14N2","54-11-5",162.231,2,,3.12
"Nitrilotriacetic acid","N,N-Bis(carboxymethyl)glycine","C6H9NO6","139-13-9",191.138,1,20,3.03
"Nitrilotriacetic acid","N,N-Bis(carboxymethyl)glycine","C6H9NO6","139-13-9",191.138,2,20,3.07
"Nitrilotriacetic acid","N,N-Bis(carboxymethyl)glycine","C6H9NO6","139-13-9",191.138,3,20,10.7
"Nitroacetic acid",,"C2H3NO4","625-75-2",105.05,,24,1.48
"2-Nitroaniline",,"C6H6N2O2","88-74-4",138.124,,25,-0.25
"3-Nitroaniline",,"C6H6N2O2","99-09-2",138.124,,25,2.46
"4-Nitroaniline",,"C6H6N2O2","100-01-6",138.124,,25,1.02
"Nitrobenzene",,"C6H5NO2","98-95-3",123.11,,0,3.98
"2-Nitrobenzeneacetic acid","o-Nitrophenylacetic acid","C8H7NO4","3740-52-1",181.147,,25,4
"3-Nitrobenzeneacetic acid","m-Nitrophenylacetic acid","C8H7NO4","1877-73-2",181.147,,25,3.97
"4-Nitrobenzeneacetic acid","p-Nitrophenylacetic acid","C8H7NO4","104-03-0",181.147,,25,3.85
"2-Nitrobenzoic acid",,"C7H5NO4","552-16-9",167.12,,25,2.17
"3-Nitrobenzoic acid",,"C7H5NO4","121-92-6",167.12,,25,3.46
"4-Nitrobenzoic acid",,"C7H5NO4","62-23-7",167.12,,25,3.43
"Nitroethane",,"C2H5NO2","79-24-3",75.067,,25,8.46
"Nitrofurantoin","1-[[(5-Nitro-2-furanyl)methylene]amino]-2,4-imidazolidinedione","C8H6N4O5","67-20-9",238.158,,,7.2
"Nitromethane",,"CH3NO2","75-52-5",61.041,,25,10.21
"2-Nitrophenol",,"C6H5NO3","88-75-5",139.109,,25,7.23
"3-Nitrophenol",,"C6H5NO3","554-84-7",139.109,,25,8.36
"4-Nitrophenol",,"C6H5NO3","100-02-7",139.109,,25,7.15
"3-(2-Nitrophenyl)propanoic acid","2-Nitrobenzenepropanoic acid","C9H9NO4","2001-32-3",195.172,,25,4.5
"3-(4-Nitrophenyl)propanoic acid","4-Nitrobenzenepropanoic acid","C9H9NO4","16642-79-8",195.172,,25,4.47
"4-Nitropyridine",,"C5H4N2O2","1122-61-8",124.098,,25,1.61
"5-Nitropyrimidinamine",,"C4H4N4O2","3073-77-6",140.101,,20,0.35
"Nizatidine",,"C12H21N5O2S2","76963-41-2",331.458,1,,2.1
"Nizatidine",,"C12H21N5O2S2","76963-41-2",331.458,2,,6.8
"Nonanedioic acid","Azelaic acid","C9H16O4","123-99-9",188.221,1,25,4.53
"Nonanedioic acid","Azelaic acid","C9H16O4","123-99-9",188.221,2,25,5.33
"Nonanoic acid","Pelargonic acid","C9H18O2","112-05-0",158.238,,25,4.96
"Nonylamine","1-Nonanamine","C9H21N","112-20-9",143.27,,25,10.64
"Norepinephrine","4-(2-Amino-1-hydroxyethyl)-1,2-benzenediol, (1R)-","C8H11NO3","51-41-2",169.178,1,25,8.64
"Norepinephrine","4-(2-Amino-1-hydroxyethyl)-1,2-benzenediol, (1R)-","C8H11NO3","51-41-2",169.178,2,25,9.7
"L-Norleucine","2-Aminohexanoic acid, (L)-","C6H13NO2","327-57-1",131.173,1,25,2.34
"L-Norleucine","2-Aminohexanoic acid, (L)-","C6H13NO2","327-57-1",131.173,2,25,9.83
"DL-Norvaline","2-Aminopentanoic acid, (±)-","C5H11NO2","760-78-1",117.147,1,,2.36
"DL-Norvaline","2-Aminopentanoic acid, (±)-","C5H11NO2","760-78-1",117.147,2,,9.72
"L-Norvaline","2-Aminopentanoic acid, (S)-","C5H11NO2","6600-40-4",117.147,1,25,2.32
"L-Norvaline","2-Aminopentanoic acid, (S)-","C5H11NO2","6600-40-4",117.147,2,25,9.81
"Noscapine",,"C22H23NO7","128-62-1",413.421,,,7.8
"Novobiocin","Streptonivicin","C31H36N2O11","303-81-1",612.624,1,,4.3
"Novobiocin","Streptonivicin","C31H36N2O11","303-81-1",612.624,2,,9.1
"cis,cis-9,12-Octadecadienoic acid","Linoleic acid","C18H32O2","60-33-3",280.446,,25,4.77
"Octadecylamine","1-Octadecanamine","C18H39N","124-30-1",269.51,,25,10.6
"1,8-Octanediamine",,"C8H20N2","373-44-4",144.258,1,20,11
"1,8-Octanediamine",,"C8H20N2","373-44-4",144.258,2,20,10.1
"Octanedioic acid","Suberic acid","C8H14O4","505-48-6",174.195,1,25,4.52
"Octanoic acid","Caprylic acid","C8H16O2","124-07-2",144.212,,25,4.89
"Octylamine","1-Octanamine","C8H19N","111-86-4",129.244,,25,10.65
"Oleanolic acid",,"C30H48O3","508-02-1",456.7,,,2.52
"L-Ornithine","2,5-Diaminopentanoic acid, (S)-","C5H12N2O2","70-26-8",132.161,1,25,1.71
"L-Ornithine","2,5-Diaminopentanoic acid, (S)-","C5H12N2O2","70-26-8",132.161,2,25,8.69
"L-Ornithine","2,5-Diaminopentanoic acid, (S)-","C5H12N2O2","70-26-8",132.161,3,25,10.76
"Oxalic acid",,"C2H2O4","144-62-7",90.035,1,25,1.25
"Oxalic acid",,"C2H2O4","144-62-7",90.035,2,25,3.81
"Oxaloacetic acid","Oxalacetic acid","C4H4O5","328-42-7",132.072,1,25,2.55
"Oxaloacetic acid","Oxalacetic acid","C4H4O5","328-42-7",132.072,2,25,4.37
"Oxaloacetic acid","Oxalacetic acid","C4H4O5","328-42-7",132.072,3,25,13.03
"Oxazole",,"C3H3NO","288-42-6",69.062,,33,0.8
"2-Oxobutanoic acid",,"C4H6O3","600-18-0",102.089,,25,2.5
"2-Oxoglutaric acid","alpha-Ketoglutaric acid","C5H6O5","328-50-7",146.099,1,25,2.47
"2-Oxoglutaric acid","alpha-Ketoglutaric acid","C5H6O5","328-50-7",146.099,2,25,4.68
"Papaverine",,"C20H21NO4","58-74-2",339.386,,,6.4
"Pentadecylamine","Pentadecanamine","C15H33N","2570-26-5",227.43,,25,10.61
"Pentafluorobenzoic acid",,"C7HF5O2","602-94-8",212.074,,25,1.75
"1,2,2,6,6-Pentamethylpiperidine","Pempidine","C10H21N","79-55-0",155.281,,30,11.25
"3-Pentanamine",,"C5H13N","616-24-0",87.164,,17,10.59
"1,5-Pentanediamine","Cadaverine","C5H14N2","462-94-2",102.178,1,25,10.05
"1,5-Pentanediamine","Cadaverine","C5H14N2","462-94-2",102.178,2,25,10.93
"Pentanedioic acid","Glutaric acid","C5H8O4","110-94-1",132.116,1,18,4.32
"Pentanedioic acid","Glutaric acid","C5H8O4","110-94-1",132.116,2,25,5.42
