"name","synonym","formula","CAS","MW","step","T","pKa"
"Pentanoic acid","Valeric acid","C5H10O2","109-52-4",102.132,,20,4.83
"trans-3-Pentenoic acid",,"C5H8O2","1617-32-9",100.117,,25,4.51
"Pentostatin",,"C11H16N4O4","53910-25-1",268.27,,,5.2
"Pentylamine","Amylamine","C5H13N","110-58-7",87.164,,25,10.63
"Perfluidone","4-(Phenylsulfonyl)-N-[(trifluoromethyl)sulfono]-o-toluidine","C14H12F3NO4S2","37924-13-3",379.375,,,2.5
"1H-Perimidine",,"C11H8N2","204-02-4",168.195,,20,6.35
"Phenanthridine",,"C13H9N","229-87-8",179.217,,20,5.58
"1,10-Phenanthroline","o-Phenanthroline","C12H8N2","66-71-7",180.205,,25,4.84
"Phenazine","Dibenzopyrazine","C12H8N2","92-82-0",180.205,,20,1.2
"Phenobarbital","5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione","C12H12N2O3","50-06-6",232.234,1,,7.3
"Phenobarbital","5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione","C12H12N2O3","50-06-6",232.234,2,,11.8
"Phenol","Hydroxybenzene","C6H6O","108-95-2",94.111,,25,9.99
"Phenolphthalein","3,3-Bis(4-hydroxyphenyl)-1(3H)-isobenzofuranone","C20H14O4","77-09-8",318.323,,25,9.7
"Phenol Red","Phenolsulfonphthalein","C19H14O5S","143-74-8",354.376,,,7.9
"Phenoxyacetic acid",,"C8H8O3","122-59-8",152.148,,25,3.17
"2-Phenoxybenzoic acid",,"C13H10O3","2243-42-7",214.216,,25,3.53
"3-Phenoxybenzoic acid",,"C13H10O3","3739-38-6",214.216,,25,3.95
"4-Phenoxybenzoic acid",,"C13H10O3","2215-77-2",214.216,,25,4.57
"2-(3-Phenoxyphenyl)propanoic acid, (±)-","Fenoprofen","C15H14O3","31879-05-7",242.27,,,4.5
"L-Phenylalanine","alpha-Aminobenzenepropanoic acid, (S)-","C9H11NO2","63-91-2",165.189,1,25,2.2
"L-Phenylalanine","alpha-Aminobenzenepropanoic acid, (S)-","C9H11NO2","63-91-2",165.189,2,25,9.31
"alpha-Phenylbenzeneacetic acid","Diphenylacetic acid","C14H12O2","117-34-0",212.244,,25,3.94
"2-Phenylbenzimidazole","Phenzidole","C13H10N2","716-79-0",194.231,1,25,5.23
"2-Phenylbenzimidazole","Phenzidole","C13H10N2","716-79-0",194.231,2,25,11.91
"2-Phenylbenzoic acid",,"C13H10O2","947-84-2",198.217,,25,3.46
"Phenyl biguanide","N-Phenylimidodicarbonimidic diamide","C8H11N5","102-02-3",177.207,1,,10.76
"Phenyl biguanide","N-Phenylimidodicarbonimidic diamide","C8H11N5","102-02-3",177.207,2,,2.13
"Phenylbutazone",,"C19H20N2O2","50-33-9",308.374,,,4.5
"N-Phenylglycine","Phenylaminoacetic acid","C8H9NO2","103-01-5",151.163,1,25,1.83
"N-Phenylglycine","Phenylaminoacetic acid","C8H9NO2","103-01-5",151.163,2,,4.39
"Phenylhydrazine",,"C6H8N2","100-63-0",108.141,,15,8.79
"Phenylpropanolamine hydrochloride","alpha-(1-Aminoethyl)benzenemethanol hydrochloride, (R*,S*)-(±)-","C9H14ClNO","154-41-6",187.666,,,9.44
"Phthalazine","2,3-Benzodiazine","C8H6N2","253-52-1",130.147,,20,3.47
"Phthalic acid","1,2-Benzenedicarboxylic acid","C8H6O4","88-99-3",166.132,1,25,2.943
"Phthalic acid","1,2-Benzenedicarboxylic acid","C8H6O4","88-99-3",166.132,2,25,5.432
"Physostigmine",,"C15H21N3O2","57-47-6",275.347,1,,6.12
"Physostigmine",,"C15H21N3O2","57-47-6",275.347,2,,12.24
"Pilocarpine",,"C11H16N2O2","92-13-7",208.257,1,25,1.6
"Pilocarpine",,"C11H16N2O2","92-13-7",208.257,2,25,6.9
"Piperazine","Diethylenediamine","C4H10N2","110-85-0",86.135,1,25,9.73
"Piperazine","Diethylenediamine","C4H10N2","110-85-0",86.135,2,25,5.33
"Piperidine","Azacyclohexane","C5H11N","110-89-4",85.148,,25,11.123
"2-Piperidinecarboxylic acid","Pipecolic acid","C6H11NO2","535-75-1",129.157,1,25,2.28
"2-Piperidinecarboxylic acid","Pipecolic acid","C6H11NO2","535-75-1",129.157,2,25,10.72
"Piperine",,"C17H19NO3","94-62-2",285.338,,18,12.22
"L-Proline","2-Pyrrolidinecarboxylic acid","C5H9NO2","147-85-3",115.131,1,25,1.95
"L-Proline","2-Pyrrolidinecarboxylic acid","C5H9NO2","147-85-3",115.131,2,25,10.64
"1,2-Propanediamine, (±)-","Propylenediamine","C3H10N2","10424-38-1",74.124,1,25,9.82
"1,2-Propanediamine, (±)-","Propylenediamine","C3H10N2","10424-38-1",74.124,2,25,6.61
"1,3-Propanediamine","1,3-Diaminopropane","C3H10N2","109-76-2",74.124,1,25,10.55
"1,3-Propanediamine","1,3-Diaminopropane","C3H10N2","109-76-2",74.124,2,25,8.88
"1,2,3-Propanetriamine","1,2,3-Triaminopropane","C3H11N3","21291-99-6",89.139,1,20,9.59
"1,2,3-Propanetriamine","1,2,3-Triaminopropane","C3H11N3","21291-99-6",89.139,2,20,7.95
"Propanoic acid","Propionic acid","C3H6O2","79-09-4",74.079,,25,4.87
"2-Propanone oxime","Acetoxime","C3H7NO","127-06-0",73.094,,25,12.42
"Propargyl alcohol","3-Hydroxy-1-propyne","C3H4O","107-19-7",56.063,,25,13.6
"trans-1-Propene-1,2-dicarboxylic acid","Mesaconic acid","C5H6O4","498-24-8",130.1,1,25,3.09
"trans-1-Propene-1,2-dicarboxylic acid","Mesaconic acid","C5H6O4","498-24-8",130.1,2,25,4.75
"1-Propene-2,3-dicarboxylic acid","Itaconic acid","C5H6O4","97-65-4",130.1,1,25,3.85
"1-Propene-2,3-dicarboxylic acid","Itaconic acid","C5H6O4","97-65-4",130.1,2,25,5.45
"cis-1-Propene-1,2,3-tricarboxylic acid","cis-Aconitic acid","C6H6O6","585-84-2",174.108,,25,1.95
"trans-1-Propene-1,2,3-tricarboxylic acid","trans-Aconitic acid","C6H6O6","4023-65-8",174.108,1,25,2.8
"trans-1-Propene-1,2,3-tricarboxylic acid","trans-Aconitic acid","C6H6O6","4023-65-8",174.108,2,25,4.46
"Propylamine","1-Propanamine","C3H9N","107-10-8",59.11,,25,10.54
"N-Propylglycine",,"C5H11NO2","25303-14-4",117.147,1,25,2.35
"N-Propylglycine",,"C5H11NO2","25303-14-4",117.147,2,25,10.19
"2-Propylpentanoic acid","Valproic acid","C8H16O2","99-66-1",144.212,,,4.6
"2-Propylpiperidine, (S)-","Coniine","C8H17N","458-88-8",127.228,,,10.9
"trans-6-Propyl-3-piperidinol, (3S)-","Pseudoconhydrine","C8H17NO","140-55-6",143.227,,,10.3
"Propyl 3,4,5-trihydroxybenzoate","Propyl gallate","C10H12O5","121-79-9",212.199,,,8.11
"2-Propynoic acid","Propiolic acid","C3H2O2","471-25-0",70.047,,25,1.84
"Protriptyline",,"C19H21N","438-60-8",263.377,,,8.2
"Pseudotropine","8-Methyl-8-azabicyclo[3.2.1]octan-3-ol, exo","C8H15NO","135-97-7",141.211,,15,3.8
"Pteridine","Pyrazino[2,3-d]pyrimidine","C6H4N4","91-18-9",132.123,,20,4.05
"1H-Purine","6H-Imidazo[4,5-d]pyrimidine","C5H4N4","120-73-0",120.113,1,20,2.3
"1H-Purine","6H-Imidazo[4,5-d]pyrimidine","C5H4N4","120-73-0",120.113,2,20,8.96
"Pyrazine","1,4-Diazine","C4H4N2","290-37-9",80.088,,20,0.65
"Pyrazinecarboxamide","Pyrazinamide","C5H5N3O","98-96-4",123.113,,,0.5
"1H-Pyrazole","1,2-Diazole","C3H4N2","288-13-1",68.077,,25,2.49
"Pyridazine","1,2-Diazabenzene","C4H4N2","289-80-5",80.088,,20,2.24
"2-Pyridinamine","2-Aminopyridine","C5H6N2","504-29-0",94.115,,20,6.82
"3-Pyridinamine","3-Aminopyridine","C5H6N2","462-08-8",94.115,,25,6.04
"4-Pyridinamine","4-Aminopyridine","C5H6N2","504-24-5",94.115,,25,9.11
"Pyridine","Azine","C5H5N","110-86-1",79.101,,25,5.23
"2-Pyridinecarboxaldehyde",,"C6H5NO","1121-60-4",107.11,,25,12.68
"4-Pyridinecarboxaldehyde",,"C6H5NO","872-85-5",107.11,,30,12.05
"2-Pyridinecarboxaldehyde oxime",,"C6H6N2O","873-69-8",122.124,1,20,3.59
"2-Pyridinecarboxaldehyde oxime",,"C6H6N2O","873-69-8",122.124,2,20,10.18
"3-Pyridinecarboxamide","Niacinamide","C6H6N2O","98-92-0",122.124,,20,3.3
"2-Pyridinecarboxylic acid","Picolinic acid","C6H5NO2","98-98-6",123.11,1,20,0.99
"2-Pyridinecarboxylic acid","Picolinic acid","C6H5NO2","98-98-6",123.11,2,20,5.39
"3-Pyridinecarboxylic acid","Nicotinic acid","C6H5NO2","59-67-6",123.11,1,25,2
"3-Pyridinecarboxylic acid","Nicotinic acid","C6H5NO2","59-67-6",123.11,2,25,4.82
"4-Pyridinecarboxylic acid","Isonicotinic acid","C6H5NO2","55-22-1",123.11,1,25,1.77
"4-Pyridinecarboxylic acid","Isonicotinic acid","C6H5NO2","55-22-1",123.11,2,25,4.84
"2,5-Pyridinediamine","2,5-Diaminopyridine","C5H7N3","4318-76-7",109.13,,20,6.48
"2,3-Pyridinedicarboxylic acid","Quinolinic acid","C7H5NO4","89-00-9",167.12,1,25,2.43
"2,3-Pyridinedicarboxylic acid","Quinolinic acid","C7H5NO4","89-00-9",167.12,2,25,4.78
"2,4-Pyridinedicarboxylic acid","Lutidinic acid","C7H5NO4","499-80-9",167.12,1,25,2.15
"2,6-Pyridinedicarboxylic acid","Dipicolinic acid","C7H5NO4","499-83-2",167.12,1,25,2.16
"2,6-Pyridinedicarboxylic acid","Dipicolinic acid","C7H5NO4","499-83-2",167.12,2,25,4.76
"3,5-Pyridinedicarboxylic acid","Dinicotinic acid","C7H5NO4","499-81-0",167.12,1,25,2.8
"Pyridine-1-oxide","Pyridine N-oxide","C5H5NO","694-59-7",95.1,,24,0.79
"2-Pyridinol",,"C5H5NO","72762-00-6",95.1,1,20,0.75
"2-Pyridinol",,"C5H5NO","72762-00-6",95.1,2,20,11.65
"3-Pyridinol",,"C5H5NO","109-00-2",95.1,1,20,4.79
"3-Pyridinol",,"C5H5NO","109-00-2",95.1,2,20,8.75
"4-Pyridinol",,"C5H5NO","626-64-2",95.1,1,20,3.2
"4-Pyridinol",,"C5H5NO","626-64-2",95.1,2,20,11.12
"2(1H)-Pyridinone",,"C5H5NO","142-08-5",95.1,1,20,0.75
"2(1H)-Pyridinone",,"C5H5NO","142-08-5",95.1,2,20,11.65
"2-Pyrimidinamine",,"C4H5N3","109-12-6",95.103,,20,3.45
"4-Pyrimidinamine",,"C4H5N3","591-54-8",95.103,,20,5.71
"Pyrimidine","1,3-Diazine","C4H4N2","289-95-2",80.088,,20,1.23
"2,4,6-Pyrimidinetriamine",,"C4H7N5","1004-38-2",125.133,,20,6.84
"Pyrocatechol","1,2-Benzenediol","C6H6O2","120-80-9",110.111,1,25,9.34
"Pyrocatechol","1,2-Benzenediol","C6H6O2","120-80-9",110.111,2,25,12.6
"L-Pyroglutamic acid","5-Oxo-L-proline","C5H7NO3","98-79-3",129.115,,25,3.32
"Pyrrole","Imidole","C4H5N","109-97-7",67.09,,25,-3.8
"1H-Pyrrole-2-carboxylic acid",,"C5H5NO2","634-97-9",111.1,,20,4.45
"1H-Pyrrole-3-carboxylic acid","3-Pyrrolecarboxylic acid","C5H5NO2","931-03-3",111.1,,20,5
"Pyrrolidine","Azacyclopentane","C4H9N","123-75-1",71.121,,25,11.31
"Pyruvic acid",,"C3H4O3","127-17-3",88.062,,25,2.39
"Quinazoline","1,3-Benzodiazine","C8H6N2","253-82-7",130.147,,29,3.43
"Quinidine",,"C20H24N2O2","56-54-2",324.417,1,20,5.4
"Quinidine",,"C20H24N2O2","56-54-2",324.417,2,20,10
"Quinine","6'-Methoxycinchonan-9-ol, (8alpha,9R)-","C20H24N2O2","130-95-0",324.417,1,25,8.52
"Quinine","6'-Methoxycinchonan-9-ol, (8alpha,9R)-","C20H24N2O2","130-95-0",324.417,2,25,4.13
"2-Quinolinamine","2-Aminoquinoline","C9H8N2","580-22-3",144.173,,20,7.34
"3-Quinolinamine","3-Aminoquinoline","C9H8N2","580-17-6",144.173,,20,4.91
"4-Quinolinamine","4-Aminoquinoline","C9H8N2","578-68-7",144.173,,20,9.17
"Quinoline","1-Azanaphthalene","C9H7N","91-22-5",129.159,,20,4.9
"8-Quinolinecarboxylic acid","8-Carboxyquinoline","C10H7NO2","86-59-9",173.169,,25,1.82
"2-Quinolinol","2-Hydroxyquinoline","C9H7NO","59-31-4",145.158,1,20,-0.31
"2-Quinolinol","2-Hydroxyquinoline","C9H7NO","59-31-4",145.158,2,20,11.76
"3-Quinolinol","3-Hydroxyquinoline","C9H7NO","580-18-7",145.158,1,20,4.28
"3-Quinolinol","3-Hydroxyquinoline","C9H7NO","580-18-7",145.158,2,20,8.08
"4-Quinolinol","4-Hydroxyquinoline","C9H7NO","611-36-9",145.158,1,20,2.23
"4-Quinolinol","4-Hydroxyquinoline","C9H7NO","611-36-9",145.158,2,20,11.28
"6-Quinolinol","6-Hydroxyquinoline","C9H7NO","580-16-5",145.158,1,20,5.15
"6-Quinolinol","6-Hydroxyquinoline","C9H7NO","580-16-5",145.158,2,20,8.9
"8-Quinolinol","8-Hydroxyquinoline","C9H7NO","148-24-3",145.158,1,25,4.91
"8-Quinolinol","8-Hydroxyquinoline","C9H7NO","148-24-3",145.158,2,25,9.81
"Quinoxaline","1,4-Benzodiazine","C8H6N2","91-19-0",130.147,,20,0.56
"Reserpine",,"C33H40N2O9","50-55-5",608.679,,,6.6
"Resorcinol","1,3-Benzenediol","C6H6O2","108-46-3",110.111,1,25,9.32
"Resorcinol","1,3-Benzenediol","C6H6O2","108-46-3",110.111,2,25,11.1
"Riboflavin",,"C17H20N4O6","83-88-5",376.364,1,,1.7
"Riboflavin",,"C17H20N4O6","83-88-5",376.364,2,25,9.69
"L-Ribose",,"C5H10O5","24259-59-4",150.13,,25,12.22
"Rifampin",,"C43H58N4O12","13292-46-1",822.941,1,,1.7
"Rifampin",,"C43H58N4O12","13292-46-1",822.941,2,,7.9
"Saccharin",,"C7H5NO3S","81-07-2",183.185,,18,11.68
"Salicylaldehyde","2-Hydroxybenzaldehyde","C7H6O2","90-02-8",122.122,,25,8.37
"Sarcosine","N-Methylglycine","C3H7NO2","107-97-1",89.094,1,25,2.21
"Sarcosine","N-Methylglycine","C3H7NO2","107-97-1",89.094,2,25,10.1
"L-Serine","2-Amino-3-hydroxypropanoic acid, (S)-","C3H7NO3","56-45-1",105.093,1,25,2.19
"L-Serine","2-Amino-3-hydroxypropanoic acid, (S)-","C3H7NO3","56-45-1",105.093,2,25,9.21
"Solanine",,"C45H73NO15","20562-02-1",868.06,,15,6.66
"Sparteine",,"C15H26N2","90-39-1",234.38,1,20,2.24
"Sparteine",,"C15H26N2","90-39-1",234.38,2,20,9.46
"Strychnine",,"C21H22N2O2","57-24-9",334.412,,25,8.26
"Succinic acid","Butanedioic acid","C4H6O4","110-15-6",118.089,1,25,4.21
"Succinic acid","Butanedioic acid","C4H6O4","110-15-6",118.089,2,25,5.64
"Succinimide",,"C4H5NO2","123-56-8",99.089,,25,9.62
"Sucrose",,"C12H22O11","57-50-1",342.296,,25,12.7
"Sulfabenzamide","N-[(4-Aminophenyl)sulfonyl]benzamide","C13H12N2O3S","127-71-9",276.31,,25,4.57
"Sulfacytine",,"C12H14N4O3S","17784-12-2",294.329,,,6.9
"Sulfamethazine",,"C12H14N4O2S","57-68-1",278.33,1,,7.4
"Sulfamethazine",,"C12H14N4O2S","57-68-1",278.33,2,,2.65
"Sulfamethoxypyridazine",,"C11H12N4O3S","80-35-3",280.303,,,6.7
"Sulfathiazole","4-Amino-N-2-thiazolylbenzenesulfonamide","C9H9N3O2S2","72-14-0",255.316,,,7.2
"Sulfisoxazole","Sulfafurazole","C11H13N3O3S","127-69-5",267.304,,,5
"DL-Tartaric acid","2,3-Dihydroxybutanedioic acid, (R*,R*)-(±)-","C4H6O6","133-37-9",150.087,1,25,3.03
"DL-Tartaric acid","2,3-Dihydroxybutanedioic acid, (R*,R*)-(±)-","C4H6O6","133-37-9",150.087,2,25,4.37
"meso-Tartaric acid","2,3-Dihydroxybutanedioic acid, (R*,R*)-","C4H6O6","147-73-9",150.087,1,25,3.17
"meso-Tartaric acid","2,3-Dihydroxybutanedioic acid, (R*,R*)-","C4H6O6","147-73-9",150.087,2,25,4.91
"L-Tartaric acid","2,3-Dihydroxybutanedioic acid, [R-(R*,R*)]-","C4H6O6","87-69-4",150.087,1,25,2.98
"L-Tartaric acid","2,3-Dihydroxybutanedioic acid, [R-(R*,R*)]-","C4H6O6","87-69-4",150.087,2,25,4.34
"Taurine","2-Aminoethanesulfonic acid","C2H7NO3S","107-35-7",125.147,1,25,1.5
"Taurine","2-Aminoethanesulfonic acid","C2H7NO3S","107-35-7",125.147,2,25,9.06
"Taurocholic acid","Cholaic acid","C26H45NO7S","81-24-3",515.703,,,1.4
"Teniposide",,"C32H32O13S","29767-20-2",656.653,,,10.13
"Terephthalic acid","1,4-Benzenedicarboxylic acid","C8H6O4","100-21-0",166.132,1,25,3.54
"Terephthalic acid","1,4-Benzenedicarboxylic acid","C8H6O4","100-21-0",166.132,2,25,4.34
"Tetradecylamine","1-Tetradecanamine","C14H31N","2016-42-4",213.403,,25,10.62
"5,6,7,8-Tetrahydro-2-naphthol","5,6,7,8-Tetrahydro-beta-naphthol","C10H12O","1125-78-6",148.201,,25,10.48
"N,N,N',N'-Tetramethyl-1,2-ethanediamine","1,2-Dimethylaminoethane","C6H16N2","110-18-9",116.204,1,25,10.4
"N,N,N',N'-Tetramethyl-1,2-ethanediamine","1,2-Dimethylaminoethane","C6H16N2","110-18-9",116.204,2,25,8.26
"2,2,6,6-Tetramethylpiperidine","Norpempidine","C9H19N","768-66-1",141.254,,25,11.07
"Tetramethylurea",,"C5H12N2O","632-22-4",116.161,,,2
"Tetrodotoxin",,"C11H17N3O8","4368-28-9",319.268,,,8.76
"Thebaine",,"C19H21NO3","115-37-7",311.375,,15,6.05
"Theobromine",,"C7H8N4O2","83-67-0",180.165,,18,7.89
"Theophylline","3,7-Dihydro-1,3-dimethyl-1H-purine-2,6-dione","C7H8N4O2","58-55-9",180.165,1,25,8.77
"2-Thiazolamine","2-Aminothiazole","C3H4N2S","96-50-4",100.142,,20,5.36
"Thiazole",,"C3H3NS","288-47-1",85.128,,25,2.52
"Thioacetic acid",,"C2H4OS","507-09-5",76.117,,25,3.33
"Thioctic acid","1,2-Dithiolane-3-pentanoic acid","C8H14O2S2","62-46-4",206.326,,,5.4
"Thioglycolic acid",,"C2H4O2S","68-11-1",92.117,,25,3.68
"2-Thiophenecarboxylic acid","2-Carboxythiophene","C5H4O2S","527-72-0",128.15,,25,3.49
"3-Thiophenecarboxylic acid","3-Thenoic acid","C5H4O2S","88-13-1",128.15,,25,4.1
"Thiourea","Thiocarbamide","CH4N2S","62-56-6",76.121,,25,-1
"L-Threonine","2-Amino-3-hydroxybutanoic acid, [R-(R*,S*)]","C4H9NO3","72-19-5",119.119,1,25,2.09
"L-Threonine","2-Amino-3-hydroxybutanoic acid, [R-(R*,S*)]","C4H9NO3","72-19-5",119.119,2,25,9.1
"Thymine",,"C5H6N2O2","65-71-4",126.114,,25,9.94
"L-Thyroxine",,"C15H11I4NO4","51-48-9",776.871,1,25,2.2
"L-Thyroxine",,"C15H11I4NO4","51-48-9",776.871,2,25,6.45
"L-Thyroxine",,"C15H11I4NO4","51-48-9",776.871,3,25,10.1
"Tolazamide",,"C14H21N3O3S","1156-19-0",311.4,,25,3.6
"o-Toluic acid",,"C8H8O2","118-90-1",136.149,,25,3.91
"m-Toluic acid",,"C8H8O2","99-04-7",136.149,,25,4.25
"p-Toluic acid",,"C8H8O2","99-94-5",136.149,,25,4.37
"1,3,5-Triazine-2,4,6-triamine","Melamine","C3H6N6","108-78-1",126.12,,25,5
"1H-1,2,3-Triazole",,"C2H3N3","288-36-8",69.065,,20,1.17
"1H-1,2,4-Triazole","Pyrrodiazole","C2H3N3","288-88-0",69.065,,20,2.27
"Trichloroacetaldehyde","Chloral","C2HCl3O","75-87-6",147.387,,25,10.04
"Trichloroacetic acid",,"C2HCl3O2","76-03-9",163.387,,20,0.66
"2,2,2-Trichloroethanol",,"C2H3Cl3O","115-20-8",149.403,,25,12.24
"Triclopyr","Acetic acid, [(3,5,6-trichloro-2-pyridinyl)oxy]-","C7H4Cl3NO3","55335-06-3",256.471,,,2.68
"(Tridecyl)amine","1-Tridecanamine","C13H29N","2869-34-3",199.376,,25,10.63
"Triethanolamine","Tris(2-hydroxyethyl)amine","C6H15NO3","102-71-6",149.188,,25,7.76
"Triethylamine","N,N-Diethylethanamine","C6H15N","121-44-8",101.19,,25,10.75
"Triethylenediamine",,"C6H12N2","280-57-9",112.172,1,,3
"Triethylenediamine",,"C6H12N2","280-57-9",112.172,2,,8.7
"Trifluoroacetic acid",,"C2HF3O2","76-05-1",114.023,,25,0.52
"2,2,2-Trifluoroethanol",,"C2H3F3O","75-89-8",100.039,,25,12.37
"3-(Trifluoromethyl)aniline",,"C7H6F3N","98-16-8",161.125,,25,3.49
"4-(Trifluoromethyl)aniline",,"C7H6F3N","455-14-1",161.125,,25,2.45
"2-(Trifluoromethyl)phenol",,"C7H5F3O","444-30-4",162.109,,25,8.95
"3-(Trifluoromethyl)phenol",,"C7H5F3O","98-17-9",162.109,,25,8.68
"2,4,6-Trihydroxybenzoic acid",,"C7H6O5","83-30-7",170.12,,25,1.68
"3,4,5-Trihydroxybenzoic acid","Gallic acid","C7H6O5","149-91-7",170.12,,25,4.41
"Trimethoprim",,"C14H18N4O3","738-70-5",290.318,,,6.6
"Trimethylamine","N,N-Dimethylmethanamine","C3H9N","75-50-3",59.11,,25,9.8
"Trimethylamine oxide","N,N-Dimethylmethanamine oxide","C3H9NO","1184-78-7",75.109,,20,4.65
"2,2,4-Trimethylpiperidine",,"C8H17N","101257-71-0",127.228,,30,11.04
"2,4,6-Trimethylpyridine","2,4,6-Collidine","C8H11N","108-75-8",121.18,,25,7.43
"2,4,6-Trinitrobenzoic acid",,"C7H3N3O8","129-66-8",257.114,,25,0.65
"2,4,6-Trinitrophenol","Picric acid","C6H3N3O7","88-89-1",229.104,,24,0.42
"Tris(hydroxymethyl)methylamine","2-Amino-2-(hydroxymethyl)-1,3-propanediol","C4H11NO3","77-86-1",121.135,,20,8.3
"Tropacocaine",,"C15H19NO2","537-26-8",245.318,,15,4.32
"Tropine","8-Methyl-8-azabicyclo[3.2.1]octan-3-ol, endo","C8H15NO","120-29-6",141.211,,15,3.8
"Tryptamine",,"C10H12N2","61-54-1",160.215,,25,10.2
"L-Tryptophan","alpha-Aminoindole-3-propanoic acid, (l)-","C11H12N2O2","73-22-3",204.225,1,25,2.46
"L-Tryptophan","alpha-Aminoindole-3-propanoic acid, (l)-","C11H12N2O2","73-22-3",204.225,2,25,9.41
"L-Tyrosine","4-Hydroxy-L-phenylalanine","C9H11NO3","60-18-4",181.188,1,25,2.2
"L-Tyrosine","4-Hydroxy-L-phenylalanine","C9H11NO3","60-18-4",181.188,2,25,9.11
"L-Tyrosine","4-Hydroxy-L-phenylalanine","C9H11NO3","60-18-4",181.188,3,25,10.1
"Tyrosineamide",,"C9H12N2O2","4985-46-0",180.203,,25,7.33
"Undecylamine","1-Undecanamine","C11H25N","7307-55-3",171.324,,25,10.63
"Uracil",,"C4H4N2O2","66-22-8",112.087,,25,9.45
"Urea","Carbamide","CH4N2O","57-13-6",60.055,,25,0.1
"Uric acid",,"C5H4N4O3","69-93-2",168.111,,12,3.89
"5'-Uridylic acid","Uridine 5'-phosphoric acid","C9H13N2O9P","58-97-9",324.18,1,,6.4
"5'-Uridylic acid","Uridine 5'-phosphoric acid","C9H13N2O9P","58-97-9",324.18,2,,9.5
"L-Valine","2-Aminoisovaleric acid","C5H11NO2","72-18-4",117.147,1,25,2.29
"L-Valine","2-Aminoisovaleric acid","C5H11NO2","72-18-4",117.147,2,25,9.74
"Valium","7-Chloro-1,3-dihydro-1-methyl-5-phenyl-2H-1,4-benzodiazepin-2-one","C16H13ClN2O","439-14-5",284.739,,,3.4
"Verapamil",,"C27H38N2O4","52-53-9",454.602,,,8.6
"Veratridine",,"C36H51NO11","71-62-5",673.79,,,9.54
"Vinblastine",,"C46H58N4O9","865-21-4",810.975,1,,5.4
"Vinblastine",,"C46H58N4O9","865-21-4",810.975,2,,7.4
"Vincristine",,"C46H56N4O10","57-22-7",824.958,,,5.4
"Xanthopterin",,"C6H5N5O2","119-44-8",179.137,2,20,6.59
"Xanthopterin",,"C6H5N5O2","119-44-8",179.137,3,20,9.31
"D-Xylose",,"C5H10O5","58-86-6",150.13,,18,12.14
